rule_id,fitness_score,final_bit_count,mean_bit_count,stddev_bit_count
rule_001,0.0,4903,4903.0,0.0
rule_002,107068.8358,4582,4584.5329,23.3673
rule_003,0.0,4987,4987.0,0.0
rule_004,37845.5719,4804,4804.6287,7.8779
rule_005,260121.3551,4998,5049.0279,51.4736
rule_006,604000.8696,3222,3269.2455,186.8502
rule_007,186280.3052,4556,4562.7345,40.8664
rule_008,68500.0133,4908,4900.1996,13.9755
rule_009,0.0,5008,5008.0,0.0
rule_010,0.0,5048,5048.0,0.0
rule_011,440178.9526,3183,3203.8303,138.059
rule_012,0.0,5047,5047.0,0.0
rule_013,79563.1473,4779,4780.3593,16.6485
rule_014,60678.7242,4912,4907.8643,12.3657
rule_015,75276.8942,5075,5073.6786,14.8329
rule_016,164773.27,4460,4463.2954,36.9405
rule_017,52355.2755,4998,4989.6747,10.4921
rule_018,11874.9789,5037,5036.8303,2.3575
rule_019,0.0,4935,4935.0,0.0
rule_020,48757.3259,5125,5126.3353,9.5099
rule_021,17228.0934,4950,4950.5808,3.4802
rule_022,45895.7914,4829,4829.7605,9.5042
rule_023,104865.3653,5035,5018.6208,20.8642
rule_024,12873.7923,4998,4998.0499,2.5757
rule_025,16346.9445,4944,4944.2315,3.3064
rule_026,0.0,5013,5013.0,0.0
rule_027,34996.5683,5150,5149.501,6.7955
rule_028,280637.7741,5708,5701.3014,49.1859
rule_029,0.0,4990,4990.0,0.0
rule_030,344621.5597,4190,4203.9242,82.2482
rule_031,228849.4599,4915,4989.3733,45.8433
rule_032,0.0,5064,5064.0,0.0
rule_033,753953.1206,6141,6116.1816,122.8563
rule_034,61465.6665,4818,4818.8882,12.7575
rule_035,0.0,4899,4899.0,0.0
rule_036,128821.4975,4840,4861.8982,26.5951
rule_037,901842.6084,6297,6253.6986,143.4913
rule_038,42012.5933,4798,4793.6307,8.7654
rule_039,84041.5741,4789,4790.008,17.5525
rule_040,17032.9606,5015,5015.7325,3.3961
rule_041,0.0,4878,4878.0,0.0
rule_042,0.0,5045,5045.0,0.0
rule_043,132810.2457,4608,4611.6228,28.8144
rule_044,145047.7728,4479,4491.9202,32.3183
rule_045,67961.3151,4801,4802.024,14.1557
rule_046,162429.8939,4563,4566.8483,35.5972
rule_047,44430.3617,4878,4878.6647,9.1083
rule_048,0.0,5076,5076.0,0.0
rule_049,158111.3491,5434,5434.024,29.0813
rule_050,264720.0373,5706,5695.0499,46.4484
rule_051,154268.7611,5368,5365.495,28.7386
rule_052,41492.794,4894,4896.0938,8.4757
rule_053,160622.4471,4483,4491.2275,35.7867
rule_054,532701.5264,5947,5926.984,89.6298
rule_055,0.0,4977,4977.0,0.0
rule_056,61083.0509,4916,4917.5589,12.4262
rule_057,295416.5186,4275,4295.6687,68.9298
rule_058,8235.8616,4963,4963.0818,1.6595
rule_059,0.0,5027,5027.0,0.0
rule_060,30816.9192,4904,4904.5489,6.284
rule_061,81770.977,5195,5193.7984,15.7403
rule_062,287624.3114,5636,5634.511,51.0045
rule_063,431246.6877,3706,3725.7206,116.2656
rule_064,0.0,4987,4987.0,0.0
rule_065,5431.955,4993,4993.1098,1.0879
rule_066,36513.8647,5088,5085.4651,7.1793
rule_067,83364.5997,4862,4868.8204,17.1287
rule_068,40874.5911,4864,4864.6747,8.4035
rule_069,25087.087,4930,4930.4092,5.0887
rule_070,127605.6065,4786,4789.9222,26.6733
rule_071,0.0,4925,4925.0,0.0
rule_072,0.0,5005,5005.0,0.0
rule_073,0.0,4983,4983.0,0.0
rule_074,47013.1406,4868,4868.7585,9.6576
rule_075,577027.3727,6318,6307.7944,91.3307
rule_076,62039.5938,5210,5209.0539,11.9078
rule_077,478850.534,5141,5177.6467,93.032
rule_078,3514255.2586,8369,8281.5749,419.8457
rule_079,2926.0345,5019,5019.0379,0.583
rule_080,6027.2182,4949,4949.0619,1.2179
rule_081,26589.0987,5037,5038.7784,5.2776
rule_082,0.0,4989,4989.0,0.0
rule_083,202084.7835,4355,4359.1976,46.4029
rule_084,30827.8488,4942,4948.0539,6.2304
rule_085,5575321.8619,9277,9143.9062,600.9833
rule_086,0.0,5025,5025.0,0.0
rule_087,207037.1779,5414,5422.9022,38.1439
rule_088,56155.0828,5082,5081.8523,11.0476
rule_089,0.0,5003,5003.0,0.0
rule_090,86937.2694,5191,5184.3593,16.7655
rule_091,951634.1169,6331,6294.1178,150.4836
rule_092,303323.5293,3952,3953.499,76.8881
rule_093,157002.8241,4486,4488.986,34.9984
rule_094,28844.6316,5105,5106.0858,5.6486
rule_095,96689.6506,4667,4668.9281,20.7177
rule_096,269232.6184,4979,5014.8483,53.8392
rule_097,1028852.0413,7040,7026.6307,146.1438
rule_098,241175.1045,4182,4188.7625,57.6698
rule_099,82777.394,5280,5281.4691,15.6702
rule_100,0.0,5011,5011.0,0.0
