generation,best_fitness,mean_fitness
0,0.001412246759550536,0.00019075554686365017
1,0.0033112582781457183,0.0011787910669001714
2,0.0033112582781457183,0.0018138219507858428
3,0.1282746900579006,0.004351868369937844
4,0.1282746900579006,0.007864788415203036
5,0.17768332462221484,0.03762612614267673
6,0.1779048749022924,0.11122746843621706
7,0.1779048749022924,0.15505438335030944
8,0.1779048749022924,0.15927197361551335
9,0.1779048749022924,0.15903067778103955
10,0.1779048749022924,0.15393841084858823
11,0.1779048749022924,0.15890010346680156
12,0.1779048749022924,0.14995222421237905
13,0.1779048749022924,0.16037806647849362
14,0.1779048749022924,0.16842163782980588
15,0.1779048749022924,0.16126532313976544
16,0.1779048749022924,0.14906153521222476
17,0.1779048749022924,0.14735924128299652
18,0.1779048749022924,0.1584673217400536
19,0.1779048749022924,0.1502988786192203
20,0.1779048749022924,0.16010818197316065
