================================================================================
TRAJECTORY LOG -- iter_220 consistency champion rule
Source JSON: champion_vc_rule_consistency.json
Seed: L_TROMINO_3bit at [(63, 63), (64, 63), (64, 64)]
Grid: 128x128, Steps: 500
Rule entries: 18

Rule dictionary:
    8 (0b0001000) -> 72
   24 (0b0011000) -> 88
   33 (0b0100001) -> 97
   37 (0b0100101) -> 101
   41 (0b0101001) -> 105
   42 (0b0101010) -> 106
   50 (0b0110010) -> 114
   56 (0b0111000) -> 120
   57 (0b0111001) -> 121
   68 (0b1000100) -> 4
   69 (0b1000101) -> 5
   70 (0b1000110) -> 6
   71 (0b1000111) -> 7
   76 (0b1001100) -> 12
   96 (0b1100000) -> 32
  118 (0b1110110) -> 54
  120 (0b1111000) -> 56
  124 (0b1111100) -> 60

================================================================================
STEP | CoM_row_raw | CoM_col_raw | CoM_row_unwrapped | CoM_col_unwrapped | Active | Displacement | Step Velocity
  55 |   63.666667 |  118.333333 |         63.666667 |        118.333333 |      3 |    55.000000 |      1.000000
  56 |   63.666667 |  119.333333 |         63.666667 |        119.333333 |      3 |    56.000000 |      1.000000
  57 |   63.666667 |  120.333333 |         63.666667 |        120.333333 |      3 |    57.000000 |      1.000000
  58 |   63.666667 |  121.333333 |         63.666667 |        121.333333 |      3 |    58.000000 |      1.000000
  59 |   63.666667 |  122.333333 |         63.666667 |        122.333333 |      3 |    59.000000 |      1.000000
  60 |   63.666667 |  123.333333 |         63.666667 |        123.333333 |      3 |    60.000000 |      1.000000
  61 |   63.666667 |  124.333333 |         63.666667 |        124.333333 |      3 |    61.000000 |      1.000000
  62 |   63.666667 |  125.333333 |         63.666667 |        125.333333 |      3 |    62.000000 |      1.000000
  63 |   63.666667 |  126.333333 |         63.666667 |        126.333333 |      3 |    63.000000 |      1.000000
  64 |   63.666667 |   84.666667 |         63.666667 |        127.333333 |      3 |    64.000000 |      1.000000
  65 |   63.666667 |    0.333333 |         63.666667 |        128.333333 |      3 |    65.000000 |      1.000000
  66 |   63.666667 |    1.333333 |         63.666667 |        129.333333 |      3 |    66.000000 |      1.000000
  67 |   63.666667 |    2.333333 |         63.666667 |        130.333333 |      3 |    67.000000 |      1.000000
  68 |   63.666667 |    3.333333 |         63.666667 |        131.333333 |      3 |    68.000000 |      1.000000
  69 |   63.666667 |    4.333333 |         63.666667 |        132.333333 |      3 |    69.000000 |      1.000000
  70 |   63.666667 |    5.333333 |         63.666667 |        133.333333 |      3 |    70.000000 |      1.000000
  71 |   63.666667 |    6.333333 |         63.666667 |        134.333333 |      3 |    71.000000 |      1.000000
  72 |   63.666667 |    7.333333 |         63.666667 |        135.333333 |      3 |    72.000000 |      1.000000
  73 |   63.666667 |    8.333333 |         63.666667 |        136.333333 |      3 |    73.000000 |      1.000000
  74 |   63.666667 |    9.333333 |         63.666667 |        137.333333 |      3 |    74.000000 |      1.000000
  75 |   63.666667 |   10.333333 |         63.666667 |        138.333333 |      3 |    75.000000 |      1.000000
  76 |   63.666667 |   11.333333 |         63.666667 |        139.333333 |      3 |    76.000000 |      1.000000
  77 |   63.666667 |   12.333333 |         63.666667 |        140.333333 |      3 |    77.000000 |      1.000000
  78 |   63.666667 |   13.333333 |         63.666667 |        141.333333 |      3 |    78.000000 |      1.000000
  79 |   63.666667 |   14.333333 |         63.666667 |        142.333333 |      3 |    79.000000 |      1.000000
  80 |   63.666667 |   15.333333 |         63.666667 |        143.333333 |      3 |    80.000000 |      1.000000
  81 |   63.666667 |   16.333333 |         63.666667 |        144.333333 |      3 |    81.000000 |      1.000000
  82 |   63.666667 |   17.333333 |         63.666667 |        145.333333 |      3 |    82.000000 |      1.000000
  83 |   63.666667 |   18.333333 |         63.666667 |        146.333333 |      3 |    83.000000 |      1.000000
  84 |   63.666667 |   19.333333 |         63.666667 |        147.333333 |      3 |    84.000000 |      1.000000
  85 |   63.666667 |   20.333333 |         63.666667 |        148.333333 |      3 |    85.000000 |      1.000000
  86 |   63.666667 |   21.333333 |         63.666667 |        149.333333 |      3 |    86.000000 |      1.000000
  87 |   63.666667 |   22.333333 |         63.666667 |        150.333333 |      3 |    87.000000 |      1.000000
  88 |   63.666667 |   23.333333 |         63.666667 |        151.333333 |      3 |    88.000000 |      1.000000
  89 |   63.666667 |   24.333333 |         63.666667 |        152.333333 |      3 |    89.000000 |      1.000000
  90 |   63.666667 |   25.333333 |         63.666667 |        153.333333 |      3 |    90.000000 |      1.000000
  91 |   63.666667 |   26.333333 |         63.666667 |        154.333333 |      3 |    91.000000 |      1.000000
  92 |   63.666667 |   27.333333 |         63.666667 |        155.333333 |      3 |    92.000000 |      1.000000
  93 |   63.666667 |   28.333333 |         63.666667 |        156.333333 |      3 |    93.000000 |      1.000000
