generation,best_fitness,mean_fitness
0,0.2213194655260068,0.00933640735653139
1,0.2213194655260068,0.05094426094911794
2,0.2213194655260068,0.10557691623616577
3,0.2213194655260068,0.17927737576395322
4,0.2213194655260068,0.1829289698006319
5,0.2213194655260068,0.16874242177985763
6,0.2213194655260068,0.1806580688013029
7,0.2213194655260068,0.16615543808772634
8,0.2213194655260068,0.17939782173007532
9,0.2213194655260068,0.17457059188323465
10,0.2213194655260068,0.1837205099418936
11,0.2213194655260068,0.1850084892656562
12,0.2213194655260068,0.18116612561490048
13,0.2213194655260068,0.17530277258053054
14,0.2213194655260068,0.16881053970958518
15,0.2213194655260068,0.18283052821312273
16,0.2213194655260068,0.1743276046942226
17,0.2213194655260068,0.16637262641547249
18,0.2213194655260068,0.19612935573419743
19,0.2213194655260068,0.1760806554719301
20,0.2213194655260068,0.17566368612649375
