generation,best_fitness
1,0.471404520791035
2,0.471404520791035
3,0.471404520791035
4,0.6666666666666607
5,0.6666666666666607
6,0.6666666666666607
7,0.6666666666666607
8,1.927050983124829
9,1.927050983124829
10,1.927050983124829
11,1.927050983124829
12,1.927050983124829
13,1.927050983124829
14,1.927050983124829
15,1.927050983124829
