rule_id,fitness,displacement,final_bits,final_objects
rule_001.json,0.09386233,0.187725,326,72
rule_002.json,0.07996136,0.319845,327,71
rule_003.json,0.0,0.0,325,72
rule_004.json,0.01196928,1.711607,183,72
rule_005.json,0.07996136,0.319845,327,71
rule_006.json,0.07996136,0.319845,327,71
rule_007.json,0.0,0.0,325,72
rule_008.json,0.0,0.0,325,72
rule_009.json,0.07009907,0.630892,317,72
rule_010.json,0.23962495,0.47925,325,71
rule_011.json,0.0,0.0,325,72
rule_012.json,0.00454193,0.713083,481,72
rule_013.json,0.07325843,0.805843,316,73
rule_014.json,0.0,0.0,325,72
rule_015.json,0.0,0.0,325,72
rule_016.json,0.00185694,0.319394,495,71
rule_017.json,0.06114283,0.183428,323,72
rule_018.json,0.0,0.0,325,72
rule_019.json,0.0,0.0,325,72
rule_020.json,0.07009907,0.630892,317,72
rule_021.json,0.07996136,0.319845,327,71
rule_022.json,0.0,0.0,325,72
rule_023.json,0.07996136,0.319845,327,71
rule_024.json,0.07996136,0.319845,327,71
rule_025.json,0.07009907,0.630892,317,72
rule_026.json,0.0,0.0,325,72
rule_027.json,0.07996136,0.319845,327,71
rule_028.json,0.0,0.0,325,72
rule_029.json,0.00324582,0.503102,479,72
rule_030.json,0.06114283,0.183428,323,72
rule_031.json,0.06114283,0.183428,323,72
rule_032.json,0.01196928,1.711607,183,72
rule_033.json,0.05581627,0.502346,319,74
rule_034.json,0.09386233,0.187725,326,72
rule_035.json,0.0,0.0,325,72
rule_036.json,0.0,0.0,325,72
rule_037.json,0.07009907,0.630892,317,72
rule_038.json,0.05574351,0.613179,316,73
rule_039.json,0.09386233,0.187725,326,72
rule_040.json,0.0,0.0,325,72
rule_041.json,0.07009907,0.630892,317,72
rule_042.json,0.09386233,0.187725,326,72
rule_043.json,0.03814583,0.762917,312,78
rule_044.json,0.09386233,0.187725,326,72
rule_045.json,0.07996136,0.319845,327,71
rule_046.json,0.11928467,0.954277,319,71
rule_047.json,0.00786224,1.210785,468,82
rule_048.json,0.0,0.0,325,72
rule_049.json,0.0,0.0,325,72
rule_050.json,0.05574351,0.613179,316,73
rule_051.json,0.07009907,0.630892,317,72
rule_052.json,0.0,0.0,325,72
rule_053.json,0.06114283,0.183428,323,72
rule_054.json,0.07009907,0.630892,317,72
rule_055.json,0.23962495,0.47925,325,71
rule_056.json,0.07996136,0.319845,327,71
rule_057.json,0.0,0.0,325,72
rule_058.json,0.05440475,0.652857,316,74
rule_059.json,0.00543481,0.01087,324,72
rule_060.json,0.00384637,0.588495,477,72
rule_061.json,0.05581627,0.502346,319,74
rule_062.json,0.00396786,0.587243,472,72
rule_063.json,0.0,0.0,325,72
rule_064.json,0.09386233,0.187725,326,72
rule_065.json,0.07009907,0.630892,317,72
rule_066.json,0.07009907,0.630892,317,72
rule_067.json,0.06114283,0.183428,323,72
rule_068.json,0.01185738,1.683748,184,72
rule_069.json,0.07009907,0.630892,317,72
rule_070.json,0.07009907,0.630892,317,72
rule_071.json,0.09386233,0.187725,326,72
rule_072.json,0.0,0.0,325,72
rule_073.json,0.00324582,0.503102,479,72
rule_074.json,0.0031962,0.492215,478,72
rule_075.json,0.01185738,1.683748,184,72
rule_076.json,0.00543481,0.01087,324,72
rule_077.json,0.0,0.0,325,72
rule_078.json,0.0,0.0,325,72
rule_079.json,0.05282533,0.898031,310,73
rule_080.json,0.07009907,0.630892,317,72
rule_081.json,0.09386233,0.187725,326,72
rule_082.json,0.05574351,0.613179,316,73
rule_083.json,0.03943009,0.19715,328,71
rule_084.json,0.0,0.0,325,72
rule_085.json,0.11928467,0.954277,319,71
rule_086.json,0.0,0.0,325,72
rule_087.json,0.03814583,0.762917,312,78
rule_088.json,0.05574351,0.613179,316,73
rule_089.json,0.0,0.0,325,72
rule_090.json,0.0,0.0,325,72
rule_091.json,0.07996136,0.319845,327,71
rule_092.json,0.06114283,0.183428,323,72
rule_093.json,0.00517527,0.709011,190,71
rule_094.json,0.0,0.0,325,72
rule_095.json,0.07996136,0.319845,327,71
rule_096.json,0.0,0.0,325,72
rule_097.json,0.07782913,1.011779,314,73
rule_098.json,0.0,0.0,325,72
rule_099.json,0.07996136,0.319845,327,71
rule_100.json,0.0,0.0,325,72
