rule_id,fitness_score,final_bit_count,mean_bit_count,stddev_bit_count
rule_001,5599420.6603,9281,9146.511,603.4496
rule_002,3440445.7488,8261,8183.9541,415.8382
rule_003,703654.8292,6246,6221.9601,112.7833
rule_004,274430.2983,4113,4119.5968,66.7227
rule_005,29301.545,5041,5040.509,5.8126
rule_006,41078.3207,4940,4946.5689,8.3056
rule_007,128546.3459,5298,5302.1956,24.2357
rule_008,275341.3089,5577,5552.4691,49.5478
rule_009,21731.0398,4977,4977.3912,4.3663
rule_010,526224.4852,2349,2388.8004,223.0275
rule_011,191928.7107,4238,4239.9401,45.3143
rule_012,9399.1493,4980,4980.0259,1.8874
rule_013,117145.8628,4645,4654.8982,25.1764
rule_014,939754.7838,6393,6369.8822,146.9474
rule_015,49363.3429,4983,4983.1058,9.9037
rule_016,415348.1949,3952,3967.3114,105.253
rule_017,252282.8908,5591,5581.9681,45.1497
rule_018,316484.7981,5477,5460.9681,57.8049
rule_019,457219.8585,5978,5969.2575,76.4838
rule_020,158907.1005,4717,4731.8922,33.6589
rule_021,105889.406,5307,5297.9281,19.982
rule_022,382996.1398,3915,3930.7784,97.8524
rule_023,5720106.1039,9271,9128.4711,616.9891
rule_024,311767.1639,4192,4205.481,74.3154
rule_025,1120354.2768,6863,6823.485,163.5305
rule_026,329464.3464,5851,5845.8922,56.3091
rule_027,79695.7577,4811,4814.483,16.5582
rule_028,561640.1984,6143,6129.5888,91.4796
rule_029,61575.3614,4899,4901.3972,12.566
rule_030,388938.9499,3843,3851.8603,101.3678
rule_031,100013.5589,4784,4782.8084,20.9197
rule_032,325561.654,5723,5719.7485,56.8459
rule_033,447280.1747,5691,5680.4591,78.5086
rule_034,757032.0181,6695,6682.1677,113.1249
rule_035,897077.2765,6646,6631.3872,134.9865
rule_036,153592.1008,5322,5315.8104,28.8734
rule_037,796032.5543,6614,6607.5848,120.2484
rule_038,341979.029,5913,5908.1836,57.8351
rule_039,230754.9709,5113,5121.3892,45.0783
rule_040,248486.2672,4312,4314.3453,57.7085
rule_041,76279.2976,4904,4919.3293,15.5086
rule_042,229900.1107,5576,5571.7784,41.2289
rule_043,531289.834,6004,5998.6347,88.3805
rule_044,427152.8034,5960,5947.8323,71.7133
rule_045,373662.7177,4122,4126.493,90.9144
rule_046,345839.5699,5548,5552.014,62.1823
rule_047,109869.5248,5308,5303.4271,20.7106
rule_048,157745.9332,5409,5401.8403,29.1844
rule_049,3905.3352,5023,5022.9521,0.7775
rule_050,608129.1128,6017,5998.9521,101.0811
rule_051,796368.0574,6367,6347.3633,125.1368
rule_052,683788.484,6215,6195.1637,110.0542
rule_053,91946.6924,4928,4945.8543,18.5945
rule_054,226605.3348,4632,4647.6347,48.9224
rule_055,257563.0585,5562,5554.3513,46.3229
rule_056,320797.4584,5527,5526.8902,57.9497
rule_057,279288.4659,4391,4399.3134,63.6048
rule_058,93480.8757,4772,4773.8164,19.5895
rule_059,802054.6503,6691,6679.0679,119.8707
rule_060,5670863.3206,9293,9154.5968,610.2624
rule_061,0.0,4922,4922.0,0.0
rule_062,520829.8945,3105,3120.5868,168.1713
rule_063,394002.9861,5852,5838.2974,67.3816
rule_064,991718.5663,2520,2642.4072,395.0315
rule_065,30829.478,5058,5057.4711,6.0952
rule_066,88202.0224,4697,4698.5768,18.7784
rule_067,77796.7696,5242,5235.477,14.8552
rule_068,178061.3835,5498,5495.4192,32.3866
rule_069,458996.5636,5684,5660.2515,80.8471
rule_070,5556661.3842,9233,9092.8982,601.7832
rule_071,714730.3178,6157,6139.8184,116.0423
rule_072,417106.7313,3702,3715.7465,112.734
rule_073,825209.1859,6491,6477.0519,127.0955
rule_074,35576.1923,4971,4971.1317,7.1557
rule_075,83463.5987,4738,4739.4232,17.6158
rule_076,255062.1379,4663,4671.3054,54.6914
rule_077,21913.5409,4875,4875.3892,4.4951
rule_078,528107.598,6174,6164.6048,85.5373
rule_079,641862.8301,6150,6133.485,104.3934
rule_080,78302.7462,5231,5229.8842,14.969
rule_081,424442.6302,3462,3478.3373,122.5972
rule_082,91407.408,5202,5200.515,17.5716
rule_083,131974.0668,5386,5386.1497,24.4941
rule_084,84287.5542,5243,5234.5848,16.0974
rule_085,490586.1163,6086,6073.1537,80.6634
rule_086,1484240.6023,7196,7166.3852,206.2382
rule_087,212350.9775,5447,5437.3693,39.016
rule_088,487412.496,6030,6018.7525,80.8582
rule_089,463080.8672,5938,5929.8383,77.986
rule_090,18735.4989,4978,4979.7106,3.7621
rule_091,1321204.4777,6995,6963.8942,189.0181
rule_092,942171.8749,6278,6243.5948,150.1227
rule_093,280435.6181,4710,4765.9681,59.2231
rule_094,443196.2263,3955,3984.7405,111.8877
rule_095,129055.2615,5336,5336.4551,24.1744
rule_096,445895.7502,6051,6047.2176,73.6409
rule_097,711681.5808,6322,6308.6627,112.5133
rule_098,21900.3492,5151,5150.6327,4.2517
rule_099,241371.0142,5347,5340.8942,45.14
rule_100,681675.6112,3268,3304.0739,208.6517
