rule_id,composite_fitness,total_displacement,std_dev,velocities,annihilated
rule_073,0.20256314,0.218759,0.07995461,0.1931;0.0128;0.0064;0.0065,0
rule_074,0.34263049,0.363688,0.06145838,0.1920;0.0295;0.0838;0.0584,0
rule_075,0.7612057,1.034223,0.35866429,0.8793;0.0452;0.0748;0.0350,0
rule_076,1.03046666,1.541053,0.4954904,1.2404;0.1671;0.0558;0.0777,0
rule_077,0.68224812,0.928625,0.36112505,0.8576;0.0226;0.0308;0.0177,0
rule_078,0.54438287,0.663935,0.21961039,0.5458;0.0263;0.0587;0.0332,0
rule_079,0.22853642,0.253636,0.10982748,0.2536;0.0000;0.0000;0.0000,0
rule_080,0.61002399,0.780881,0.28008244,0.6797;0.0456;0.0103;0.0452,0
rule_081,0.60022226,0.776097,0.29301602,0.7015;0.0282;0.0272;0.0192,0
rule_082,0.70751983,0.952987,0.34694033,0.8390;0.0265;0.0456;0.0419,0
rule_083,0.27186849,0.30399,0.11815093,0.2806;0.0025;0.0120;0.0090,0
rule_084,0.66291472,0.92982,0.40262385,0.9298;0.0000;0.0000;0.0000,0
rule_085,0.13799439,0.146764,0.0635505,0.1468;0.0000;0.0000;0.0000,0
rule_086,0.04378386,0.04463,0.01932538,0.0446;0.0000;0.0000;0.0000,0
rule_087,0.47808156,0.573237,0.199036,0.4878;0.0287;0.0183;0.0385,0
rule_088,0.62874014,0.848105,0.3488959,0.8163;0.0112;0.0125;0.0081,0
rule_089,0.32183799,0.37088,0.15238103,0.3566;0.0027;0.0066;0.0049,0
rule_090,0.36839646,0.438317,0.18979699,0.4383;0.0000;0.0000;0.0000,0
rule_091,0.2094553,0.230347,0.09974298,0.2303;0.0000;0.0000;0.0000,0
rule_092,0.29854581,0.327573,0.09722861,0.2492;0.0307;0.0089;0.0387,0
rule_093,0.22026069,0.243483,0.10543104,0.2435;0.0000;0.0000;0.0000,0
rule_094,0.93685262,1.290243,0.37721022,0.9740;0.0662;0.1476;0.1024,0
rule_095,0.24476421,0.265809,0.08597987,0.2154;0.0168;0.0178;0.0158,0
rule_096,0.22191321,0.245504,0.10630639,0.2455;0.0000;0.0000;0.0000,0
rule_097,0.49467991,0.629526,0.27259262,0.6295;0.0000;0.0000;0.0000,0
rule_098,0.26919332,0.294907,0.09552123,0.2381;0.0015;0.0284;0.0269,0
rule_099,0.14400348,0.15358,0.06650204,0.1536;0.0000;0.0000;0.0000,0
rule_100,0.80891862,1.193602,0.47555264,1.1220;0.0216;0.0162;0.0338,0
