generation,max,mean,non_zero
0,14.920782,0.151064,3
1,38.917421,1.740509,20
2,38.917421,13.845965,88
3,38.917421,21.911281,90
4,38.917421,33.496958,89
5,38.917421,32.450667,84
6,38.917421,35.025679,90
7,38.917421,33.399642,87
8,38.917421,32.210701,84
9,38.917421,34.399854,90
10,38.917421,32.301459,83
11,38.917421,31.057256,81
12,38.917421,32.592482,86
13,38.917421,34.785712,90
14,38.917421,31.980530,85
15,38.917421,33.461589,87
