rule_hash,fitness_score
765478e340aa5ec5,0.00000000
7bd2e08ce5f9126a,0.00000000
655e74d76aceaeea,0.00000000
5014ef7da3d3693f,0.00000000
fdf8331ff76af568,0.00000000
522efdf1ba202c2a,0.00000000
198f28430b004cc2,0.00000000
bf40497b13be0cd6,0.00000000
fdf8331ff76af568,0.00000000
12ead3b6b78b323c,0.00000000
89177c0fd3642e17,0.00000000
e1920d465336800b,0.00000000
fdf8331ff76af568,0.00000000
c4dfe079df6b6603,0.00000000
166f01c203eedb94,0.00000000
bf40497b13be0cd6,0.00000000
3145facc54328b69,0.00000000
bb94ede4e9d8ccee,0.00000000
3145facc54328b69,0.00000000
fdf8331ff76af568,0.00000000
12ead3b6b78b323c,0.00000000
fdf8331ff76af568,0.00000000
844de1d30b21cfbe,0.00000000
2c4cd33a141c5681,0.00000000
9acec77c86fbf69b,0.00000000
d29c054b76f6ef5b,0.00000000
3155222a844cf593,0.00000000
bf40497b13be0cd6,0.00000000
e1920d465336800b,0.00000000
655e74d76aceaeea,0.00000000
89177c0fd3642e17,0.00000000
79f8903a1f3f44aa,0.00000000
e462e9f760efac5c,0.00000000
767bdde2ad2c420e,0.00000000
bf40497b13be0cd6,0.00000000
3ac67ffe731c8b7c,0.00000000
66e9575822f67d22,0.00000000
192ec7f15143d1a2,0.00000000
3c36078bbf33a564,0.00000000
71ba3204d1a005b5,0.00000000
5ce8646ea33227f0,0.00000000
f301d1d0f2cd8ec2,0.00000000
fdf8331ff76af568,0.00000000
192ec7f15143d1a2,0.00000000
67fb631b76a5481e,0.00000000
701b239ad2fc0a9b,0.00000000
3165d304fe33b3f1,0.00000000
eff6e076c3e7aa98,0.00000000
3155222a844cf593,0.00000000
a6f5bac58ccd43c9,0.00000000
e76114055451918b,0.00000000
7380012b86689923,0.00000000
31a1bd6fbd13f582,0.00000000
e0b5d9d29c6fa853,0.00000000
34de3ae16da8a2fe,0.00000000
5e25909bbbb65eea,0.00000000
1da04afebd803636,0.00000000
fdf8331ff76af568,0.00000000
e8931a52d52387c6,0.00000000
2e2ec991eba5c4f8,0.00000000
320908bd4df1d82a,0.00000000
a55804db7c9b9047,0.00000000
62844c5c443897ba,0.00000000
4cbc6d1d5a5345b6,0.00000000
d792c7fa2f106fde,0.00000000
8d56397831be05ee,0.00000000
bbc0c971828e949b,0.00000000
d68613c905133f58,0.00000000
1e4641319f134eb4,0.00000000
82801ff0c536c69c,0.00000000
1779776dea449693,0.00000000
dd4c1a0abbc0a721,0.00000000
60a07761c1b6a90a,0.00000000
40833e0f74ddc905,0.00000000
abd1abc53f3a3261,0.00000000
ac09dfc588afe91c,0.00000000
0c99289aacf01aa5,0.00000000
e082976e35135744,0.00000000
92404c7dcbfff2f8,0.00000000
d8c8ade23c617b46,0.00000000
2bfc816a19af3e63,0.00000000
0903dac0f6e81252,0.00000000
be106681e0344220,0.00000000
2544df0406da6a37,0.00000000
15b73daaafe38c98,0.00000000
c87191f20846d5ce,0.00000000
a8cacf8761ad65a6,0.00000000
49bfdb249528cfc1,0.00000000
c0fb66d9c09f9568,0.00000000
ff7163c376e06ff9,0.00000000
58f4555cf53be220,0.00000000
a717f92a0d6b6621,0.00000000
a0372ed4c26d674c,0.00000000
0861f6a3ba479390,0.00000000
ef4a1799092f09ad,0.00000000
40a9954332059b9b,0.00000000
9cbdbba4dcd2d23a,0.00000000
b6da9a76170a17da,0.00000000
58c02608d0959b2a,0.00000000
8982f475b70e6595,0.00000000
4cb19d6bdc55f044,0.00000000
