step,com_x,com_y,bit_count
227,63.8000,82.8000,20
228,63.6154,71.0769,26
229,63.7857,81.8929,28
230,63.4545,60.8636,22
231,63.8000,82.8000,20
232,63.7368,78.7895,38
233,63.7727,81.0682,44
234,63.5000,63.7500,32
235,63.8125,83.5938,32
236,63.6800,75.1800,50
237,63.7857,81.8929,56
238,63.2143,45.6071,28
239,63.7500,79.6250,16
240,63.6154,71.0769,26
241,63.6875,75.6562,32
242,63.5000,63.7500,32
243,63.7727,81.0682,44
244,63.4815,62.5741,54
245,63.7333,78.5667,60
246,63.2609,48.5652,46
247,63.7857,81.8929,28
248,63.6800,75.1800,50
249,63.7333,78.5667,60
250,63.4583,61.1042,48
251,63.7857,81.8929,56
252,63.5641,67.8205,78
253,63.6667,74.3333,66
254,63.0833,37.2917,48
255,63.6667,74.3333,6
256,63.6000,70.1000,10
257,63.5000,63.7500,8
258,63.6250,71.6875,16
259,63.6000,70.1000,10
260,63.5455,66.6364,22
261,63.4000,57.4000,10
262,63.4545,60.8636,22
263,63.7143,77.3571,14
264,63.6154,71.0769,26
265,63.3750,55.8125,16
266,63.5000,63.7500,32
267,63.6667,74.3333,18
268,63.5789,68.7632,38
269,63.2500,47.8750,16
270,63.3125,51.8438,32
271,63.7143,77.3571,14
272,63.6154,71.0769,26
273,63.5000,63.7500,20
274,63.6364,72.4091,44
275,63.6154,71.0769,26
276,63.5484,66.8226,62
277,63.2727,49.3182,22
278,63.3200,52.3200,50
279,63.7273,78.1818,22
280,63.6190,71.3095,42
281,63.4286,59.2143,28
282,63.5667,67.9833,60
283,63.6471,73.0882,34
284,63.5641,67.8205,78
285,63.1538,41.7692,26
286,63.1200,39.6200,50
287,63.8333,84.9167,12
288,63.7500,79.6250,16
289,63.7143,77.3571,14
290,63.7273,78.1818,22
291,63.8000,82.8000,20
292,63.6875,75.6562,32
293,63.6250,71.6875,16
294,63.5714,68.2857,28
295,63.8750,87.5625,32
296,63.7727,81.0682,44
297,63.6154,71.0769,26
298,63.6190,71.3095,42
299,63.8500,85.9750,40
300,63.7333,78.5667,60
301,63.3333,53.1667,18
302,63.3529,54.4118,34
303,63.8000,82.8000,20
304,63.6875,75.6562,32
305,63.6154,71.0769,26
306,63.6800,75.1800,50
307,63.7222,77.8611,36
308,63.6111,70.8056,72
309,63.4286,59.2143,28
310,63.3929,56.9464,56
311,63.8500,85.9750,40
312,63.7333,78.5667,60
313,63.5789,68.7632,38
314,63.6286,71.9143,70
315,63.7857,81.8929,56
316,63.5641,67.8205,78
317,63.1538,41.7692,26
318,63.0833,37.2917,48
319,63.7500,79.6250,8
320,63.5000,63.7500,8
321,63.7143,77.3571,14
322,63.5000,63.7500,12
323,63.7500,79.6250,16
324,63.2857,50.1429,14
325,63.6250,71.6875,16
326,63.4545,60.8636,22
