step,Y1,Y2,defl_Y1,defl_Y2,separation,mutual_attraction,total_bits,bits_glider1,bits_glider2
74,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
75,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
76,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
77,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
78,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
79,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
80,13.500000,19.000000,+0.500000,+0.000000,+5.500000,+0.500000,8,4,4
81,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
82,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
83,12.500000,18.500000,-0.500000,-0.500000,+6.000000,+0.000000,8,4,4
84,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
85,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
86,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
87,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
88,12.750000,19.000000,-0.250000,+0.000000,+6.250000,-0.250000,8,4,4
89,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
90,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
91,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
92,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
93,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
94,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
95,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
96,12.750000,18.500000,-0.250000,-0.500000,+5.750000,+0.250000,8,4,4
97,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
98,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
99,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
100,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
101,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
102,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
103,13.250000,19.000000,+0.250000,+0.000000,+5.750000,+0.250000,8,4,4
104,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
105,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
106,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
107,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
108,13.500000,19.250000,+0.500000,+0.250000,+5.750000,+0.250000,8,4,4
109,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
110,12.750000,19.000000,-0.250000,+0.000000,+6.250000,-0.250000,8,4,4
111,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
112,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
113,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
114,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
115,12.500000,18.750000,-0.500000,-0.250000,+6.250000,-0.250000,8,4,4
116,13.000000,18.750000,+0.000000,-0.250000,+5.750000,+0.250000,8,4,4
117,13.250000,19.000000,+0.250000,+0.000000,+5.750000,+0.250000,8,4,4
118,13.250000,19.000000,+0.250000,+0.000000,+5.750000,+0.250000,8,4,4
119,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
120,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
