step,bit_count,active_cell_count,num_components,sim_time_ms
0,6,24,2,0.27099999715574086
1,4,24,4,1.9059999904129654
2,6,30,4,1.156799989985302
3,6,30,4,1.1123000003863126
4,6,30,4,1.0932000004686415
5,6,30,4,1.1704999778885394
6,6,30,4,1.0885000228881836
7,6,30,4,1.0995999909937382
8,6,30,4,1.0999000223819166
9,6,30,4,1.1521000124048442
10,6,30,4,1.1149999918416142
11,6,30,4,1.1362999794073403
12,6,30,4,1.1068999883718789
13,6,30,4,1.094200008083135
14,6,30,4,1.1004999978467822
15,6,30,4,1.136799983214587
16,6,30,4,1.0999999940395355
17,6,30,4,1.1347999970894307
18,6,30,4,1.0965999972540885
19,6,30,4,1.1707999801728874
20,6,30,4,1.2152999988757074
21,6,30,4,1.1079999967478216
22,6,30,5,1.083599985577166
23,6,30,4,1.1365000100340694
24,6,30,4,1.1012000031769276
25,6,30,4,1.094800012651831
26,6,30,4,1.066600001649931
27,6,30,4,1.0876000160351396
28,6,30,4,1.0807000217027962
29,6,30,4,1.0923999943770468
30,6,30,4,1.1166000040248036
31,6,30,4,1.0997999925166368
32,6,30,4,1.1314000003039837
33,6,30,4,1.1517999810166657
34,6,30,4,1.1578999983612448
35,6,30,5,1.11859999014996
36,6,30,5,1.1129999766126275
37,6,30,4,1.094200008083135
38,6,30,4,1.0946999827865511
39,6,30,4,1.0959999926853925
40,6,30,4,1.1009000008925796
41,6,30,4,1.1094999790657312
42,6,30,4,1.0840000177267939
43,6,30,4,1.0932000004686415
44,6,30,4,1.095400017220527
45,6,30,4,1.0900000052060932
46,6,30,4,1.1483000125735998
47,6,30,4,1.1085000005550683
48,6,30,4,1.2314000050537288
49,6,30,4,1.1112000211142004
50,6,30,4,1.1340000201016665
51,6,30,4,1.1400999792385846
52,6,30,4,1.1468000011518598
53,6,30,4,1.1192999954801053
54,6,30,4,1.0797999857459217
55,6,30,4,1.1158999986946583
56,6,30,4,1.0935000027529895
57,6,30,4,1.0905999806709588
58,6,30,4,1.117000007070601
59,6,30,4,1.114800019422546
60,6,30,4,1.086699980078265
61,6,30,4,1.11119999201037
62,6,30,4,1.18530000327155
63,6,30,4,1.070300000719726
64,6,30,4,1.0741000005509704
65,6,30,4,1.0908000112976879
66,6,30,4,1.111400022637099
67,6,30,4,1.095400017220527
68,6,30,4,1.0950999858323485
69,6,30,4,1.0891999991144985
70,6,30,4,1.0820000024978071
71,6,30,4,1.1042000260204077
72,6,30,4,1.0907000105362386
73,6,30,4,1.129699987359345
74,6,30,4,1.0870000114664435
75,6,30,4,1.0898000036831945
76,6,30,4,1.2110999959986657
77,6,30,4,1.2360000109765679
78,6,30,4,1.0840000177267939
79,6,30,4,1.086399977793917
80,6,30,4,1.1017000069841743
81,6,30,4,1.114899991080165
82,6,30,4,1.0977000056300312
83,6,30,4,1.073099992936477
84,6,30,4,1.0814999986905605
85,6,30,4,1.1220999876968563
86,6,30,4,1.1011000024154782
87,6,30,4,1.120700006140396
88,6,30,4,1.0989999864250422
89,6,30,4,1.1307999957352877
90,6,30,4,1.1360000062268227
91,6,30,4,1.191700022900477
92,6,30,4,1.1380999931134284
93,6,30,4,1.1024999839719385
94,6,30,4,1.106500014429912
95,6,30,4,1.108399999793619
96,6,30,4,1.0821000032592565
97,6,30,4,1.071299979230389
98,6,30,4,1.1015000054612756
99,6,30,4,1.1180999863427132
100,6,30,4,1.0809999948833138
101,6,30,4,1.0986999841406941
102,6,30,4,1.0783000034280121
103,6,30,4,1.1178000131621957
104,6,30,4,1.0982999810948968
105,6,30,4,1.4247000217437744
106,6,30,4,1.2063999893143773
107,6,30,4,1.126200018916279
108,6,30,4,1.0928999981842935
109,6,30,4,1.1320999765302986
110,6,30,4,1.0865000076591969
111,6,30,4,1.1049000022467226
112,6,30,4,1.0932000004686415
113,6,30,4,1.109000004362315
114,6,30,4,1.0889999975915998
115,6,30,4,1.1360999778844416
116,6,30,4,1.1282000050414354
117,6,30,4,1.0800999880302697
118,6,30,4,1.1045999999623746
119,6,30,4,1.1906999861821532
120,6,30,4,1.1026999854948372
121,6,30,4,1.1306999949738383
122,6,30,4,1.1369000130798668
123,6,30,4,1.1159999994561076
124,6,30,4,1.1815000034403056
125,6,30,4,1.144799985922873
126,6,30,4,1.1229999945499003
127,6,30,4,1.1377999908290803
128,6,30,4,1.1307999957352877
129,6,30,4,1.0877999884542078
130,6,30,4,1.0978000063914806
131,6,30,4,1.0822000040207058
132,6,30,4,1.0805999918375164
133,6,30,4,1.251700014108792
134,6,30,4,1.1319000041112304
135,6,30,4,1.0964999964926392
136,6,30,4,1.1126999743282795
137,6,30,4,1.1018000077456236
138,6,30,4,1.0932000004686415
139,6,30,4,1.098500011721626
140,6,30,4,1.1097999813500792
141,6,30,4,1.0780000011436641
142,6,30,4,1.0967999987769872
143,6,30,5,1.1061999830417335
144,6,30,4,1.105000003008172
145,6,30,4,1.1048000014852732
146,6,30,4,1.0789000079967082
147,6,30,4,1.1201000015717
148,6,30,4,1.1073000205215067
149,6,30,4,1.0810999956447631
150,6,30,4,1.074300002073869
151,6,30,4,1.1026000138372183
152,6,30,4,1.1129999766126275
153,6,30,4,1.106500014429912
154,6,30,4,1.092300022719428
155,6,30,4,1.0783000034280121
156,6,30,4,1.1140000133309513
157,6,30,4,1.0992000170517713
158,6,30,4,1.070999976946041
159,6,30,4,1.106500014429912
160,6,30,4,1.0981999803334475
161,6,30,4,1.076799992006272
162,6,30,4,1.1303999926894903
163,6,30,4,1.1032999900635332
164,6,30,4,1.1031999893020838
165,6,30,4,1.1023000115528703
166,6,30,4,1.1270000250078738
167,6,30,4,1.1098000104539096
168,6,30,4,1.1175999825354666
169,6,30,4,1.0780000011436641
170,6,30,4,1.1128000041935593
171,6,30,4,1.0947999835480005
172,6,30,4,1.0932000004686415
173,6,30,4,1.1110000195913017
174,6,30,4,1.1061000113841146
175,6,30,4,1.1003999970853329
176,6,30,4,1.3718999980483204
177,6,30,4,1.1583000014070421
178,6,30,4,1.1069999891333282
179,6,30,4,1.109900011215359
180,6,30,4,1.1107999889645725
181,6,30,4,1.142599998274818
182,6,30,4,1.1369999847374856
183,6,30,4,1.119199994718656
184,6,30,4,1.118899992434308
185,6,30,4,1.1015000054612756
186,6,30,4,1.1277000012341887
187,6,30,4,1.0839000169653445
188,6,30,4,1.0794000118039548
189,6,30,4,1.1240000021643937
190,6,30,4,1.2561999901663512
191,6,30,4,1.9788000208791345
192,6,30,4,1.4571000065188855
193,6,30,4,1.116100000217557
194,6,30,4,1.1835999903269112
195,6,30,4,1.1286000080872327
196,6,30,4,1.1706000077538192
197,6,30,4,1.1073999921791255
198,6,30,4,1.1218999861739576
199,6,30,4,1.0856000008061528
200,6,30,4,1.1156000255141407
201,6,30,4,1.1068999883718789
202,6,30,4,1.0967999987769872
203,6,30,4,1.1636000126600266
204,6,30,4,1.120400003856048
205,6,30,4,1.1066000151913613
206,6,30,4,1.107400021282956
207,6,30,4,1.0756000119727105
208,6,30,4,1.0813999979291111
209,6,30,4,1.108399999793619
210,6,30,4,1.1212000099476427
211,6,30,4,1.108099997509271
212,6,30,4,1.0824999772012234
213,6,30,4,1.0798000148497522
214,6,30,4,1.1144000163767487
215,6,30,4,1.0904999799095094
216,6,30,4,1.0879000183194876
217,6,30,4,1.1656999995466322
218,6,30,4,1.1821000080090016
219,6,30,4,1.1012000031769276
220,6,30,4,1.0771999950520694
221,6,30,4,1.1095999798271805
222,6,30,4,1.1091000051237643
223,6,30,4,1.120400003856048
224,6,30,4,1.0987000132445246
225,6,30,4,1.1171000078320503
226,6,30,4,1.0978000063914806
227,6,30,4,1.1003999970853329
228,6,30,4,1.1096999805886298
229,6,30,4,1.0881999915000051
230,6,30,4,1.1000999948009849
231,6,30,4,1.0729999921750277
232,6,30,4,1.181600004201755
233,6,30,4,1.1039000237360597
234,6,30,4,1.0910000128205866
235,6,30,4,1.129099982790649
236,6,30,4,1.0987000132445246
237,6,30,4,1.1212000099476427
238,6,30,4,1.0961999942082912
239,6,30,4,1.0779000003822148
240,6,30,4,1.0910000128205866
241,6,30,4,1.0863000061362982
242,6,30,4,1.0878000175580382
243,6,30,4,1.0707999754231423
244,6,30,4,1.111499994294718
245,6,30,4,1.1540999985300004
246,6,30,4,1.9150000007357448
247,6,30,4,2.564600028563291
248,6,30,4,1.1431000020820647
249,6,30,4,1.1791999859269708
250,6,30,4,1.141699991421774
251,6,30,4,1.1403999815229326
252,6,30,4,1.108700002077967
253,6,30,4,1.0993999894708395
254,6,30,4,1.1048000014852732
255,6,30,4,1.1136999819427729
256,6,30,4,1.0990000155288726
257,6,30,4,1.0712000075727701
258,6,30,4,1.493599993409589
259,6,30,4,1.879699993878603
260,6,30,4,1.5852000215090811
261,6,30,4,1.20749999769032
262,6,30,4,1.1208000069018453
263,6,30,4,1.0946000111289322
264,6,30,4,1.1249000090174377
265,6,30,4,1.0998999932780862
266,6,30,4,1.0970000002998859
267,6,30,4,1.0836999863386154
268,6,30,4,1.0929999989457428
269,6,30,4,1.1487000156193972
270,6,30,4,1.1018999794032425
271,6,30,4,1.202500017825514
272,6,30,4,1.1537999962456524
273,6,30,4,1.098500011721626
274,6,30,4,1.2005000025965273
275,6,30,4,1.1261999898124486
276,6,30,4,1.113300008000806
277,6,30,4,1.074300002073869
278,6,30,5,1.1018000077456236
279,6,30,4,1.087299984646961
280,6,30,4,1.105000003008172
281,6,30,4,1.1674999841488898
282,6,30,4,1.119799999287352
283,6,30,4,1.0961999942082912
284,6,30,4,1.1283999774605036
285,6,30,4,1.213000010466203
286,6,30,4,1.1038000229746103
287,6,30,4,1.1706000077538192
288,6,30,4,1.1055999784730375
289,6,30,4,1.0855000000447035
290,6,30,4,1.1344999948050827
291,6,30,5,1.1125000019092113
292,6,30,5,1.118800020776689
293,6,30,4,1.1202999739907682
294,6,30,4,1.0974000033456832
295,6,30,4,1.119199994718656
296,6,30,4,1.1076999944634736
297,6,30,4,1.0902999783866107
298,6,30,4,1.0742000013124198
299,6,30,4,1.1643999896477908
300,6,30,4,1.1277000012341887
301,6,30,4,1.1889999732375145
302,6,30,4,1.0967999987769872
303,6,30,4,1.0863000061362982
304,6,30,4,1.0964999964926392
305,6,30,4,1.0774000256787986
306,6,30,4,1.0944000096060336
307,6,30,4,1.0977000056300312
308,6,30,4,1.0973000025842339
309,6,30,4,1.1054999777115881
310,6,30,4,1.0888999968301505
311,6,30,4,1.1218999861739576
312,6,30,4,1.098200009437278
313,6,30,4,1.1471999750938267
314,6,30,4,1.13640000927262
315,6,30,4,1.0809999948833138
316,6,30,4,1.092600025003776
317,6,30,4,1.0853999992832541
318,6,30,4,1.1141000140924007
319,6,30,4,1.122800022130832
320,6,30,4,1.0664000001270324
321,6,30,4,1.123499998357147
322,6,30,4,1.0843999916687608
323,6,30,4,1.102500013075769
324,6,30,4,1.1089000036008656
325,6,30,4,1.1098000104539096
326,6,30,4,1.167700014775619
327,6,30,4,1.1195999977644533
328,6,30,4,1.2180000194348395
