LONG-TERM SUSTAINED BOUND STATE REPORT (PERMUTATION 10)
=====================================================

Step | Active Bits | Active Sep | Active Status | Control Bits | Control Sep | Control Status
  91 |           8 |    22.1331 | ok            |            8 |      2.7456 | ok            
  92 |           8 |    22.3292 | ok            |            8 |      2.7456 | ok            
  93 |           8 |    22.3572 | ok            |            8 |      2.7456 | ok            
  94 |           8 |    22.1873 | ok            |            8 |      2.7456 | ok            
  95 |           8 |    22.3049 | ok            |            8 |     14.0158 | ok            
  96 |           8 |    22.3965 | ok            |            8 |     16.0815 | ok            
  97 |           8 |    22.4618 | ok            |            8 |     16.0815 | ok            
  98 |           8 |    22.3292 | ok            |            8 |     16.0815 | ok            
  99 |           8 |     2.7456 | ok            |            8 |     17.0341 | ok            
 100 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 101 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 102 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 103 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 104 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 105 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 106 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 107 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 108 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 109 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 110 |           8 |     2.8927 | ok            |            8 |     22.5253 | ok            
 111 |           8 |     2.7456 | ok            |            8 |     22.3834 | ok            
 112 |           8 |     2.7947 | ok            |            8 |     22.4357 | ok            
 113 |           8 |     2.7456 | ok            |            8 |     22.4133 | ok            
 114 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 115 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 116 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 117 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 118 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 119 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 120 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 121 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 122 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 123 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 124 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 125 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 126 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 127 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 128 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 129 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 130 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 131 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 132 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 133 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 134 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 135 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 136 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 137 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 138 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 139 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 140 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 141 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 142 |           8 |     2.8927 | ok            |            8 |     22.5253 | ok            
 143 |           8 |     2.7456 | ok            |            8 |     22.3834 | ok            
 144 |           8 |     2.7947 | ok            |            8 |     22.4357 | ok            
 145 |           8 |     2.7456 | ok            |            8 |     22.4133 | ok            
 146 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 147 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 148 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 149 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 150 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
 151 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 152 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
 153 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
 154 |           8 |    22.0491 | ok            |            8 |      2.7456 | ok            
 155 |           8 |    22.1331 | ok            |            8 |      2.7456 | ok            
 156 |           8 |    22.3292 | ok            |            8 |      2.7456 | ok            
 157 |           8 |    22.3572 | ok            |            8 |      2.7456 | ok            
 158 |           8 |    22.1873 | ok            |            8 |      2.7456 | ok            
 159 |           8 |    22.3049 | ok            |            8 |     14.0158 | ok            
 160 |           8 |    22.3965 | ok            |            8 |     16.0815 | ok            
