step,CoM_x,CoM_y,bit_count,state_hash
118,63.666667,63.666667,3,44d3ed4deb4ac7b8
119,63.666667,64.000000,3,f067db67410ca6a5
120,63.333333,64.333333,3,418cf1275861566f
121,63.333333,64.000000,3,a2aed0ec9e5aa2d8
122,63.666667,63.666667,3,44d3ed4deb4ac7b8
123,63.666667,64.000000,3,f067db67410ca6a5
124,63.333333,64.333333,3,418cf1275861566f
125,63.333333,64.000000,3,a2aed0ec9e5aa2d8
126,63.666667,63.666667,3,44d3ed4deb4ac7b8
127,63.666667,64.000000,3,f067db67410ca6a5
128,63.333333,64.333333,3,418cf1275861566f
129,63.333333,64.000000,3,a2aed0ec9e5aa2d8
130,63.666667,63.666667,3,44d3ed4deb4ac7b8
131,63.666667,64.000000,3,f067db67410ca6a5
132,63.333333,64.333333,3,418cf1275861566f
133,63.333333,64.000000,3,a2aed0ec9e5aa2d8
134,63.666667,63.666667,3,44d3ed4deb4ac7b8
135,63.666667,64.000000,3,f067db67410ca6a5
136,63.333333,64.333333,3,418cf1275861566f
137,63.333333,64.000000,3,a2aed0ec9e5aa2d8
138,63.666667,63.666667,3,44d3ed4deb4ac7b8
139,63.666667,64.000000,3,f067db67410ca6a5
140,63.333333,64.333333,3,418cf1275861566f
141,63.333333,64.000000,3,a2aed0ec9e5aa2d8
142,63.666667,63.666667,3,44d3ed4deb4ac7b8
143,63.666667,64.000000,3,f067db67410ca6a5
144,63.333333,64.333333,3,418cf1275861566f
145,63.333333,64.000000,3,a2aed0ec9e5aa2d8
146,63.666667,63.666667,3,44d3ed4deb4ac7b8
147,63.666667,64.000000,3,f067db67410ca6a5
148,63.333333,64.333333,3,418cf1275861566f
149,63.333333,64.000000,3,a2aed0ec9e5aa2d8
150,63.666667,63.666667,3,44d3ed4deb4ac7b8
151,63.666667,64.000000,3,f067db67410ca6a5
152,63.333333,64.333333,3,418cf1275861566f
153,63.333333,64.000000,3,a2aed0ec9e5aa2d8
154,63.666667,63.666667,3,44d3ed4deb4ac7b8
155,63.666667,64.000000,3,f067db67410ca6a5
156,63.333333,64.333333,3,418cf1275861566f
157,63.333333,64.000000,3,a2aed0ec9e5aa2d8
158,63.666667,63.666667,3,44d3ed4deb4ac7b8
159,63.666667,64.000000,3,f067db67410ca6a5
160,63.333333,64.333333,3,418cf1275861566f
161,63.333333,64.000000,3,a2aed0ec9e5aa2d8
162,63.666667,63.666667,3,44d3ed4deb4ac7b8
163,63.666667,64.000000,3,f067db67410ca6a5
164,63.333333,64.333333,3,418cf1275861566f
165,63.333333,64.000000,3,a2aed0ec9e5aa2d8
166,63.666667,63.666667,3,44d3ed4deb4ac7b8
167,63.666667,64.000000,3,f067db67410ca6a5
168,63.333333,64.333333,3,418cf1275861566f
169,63.333333,64.000000,3,a2aed0ec9e5aa2d8
170,63.666667,63.666667,3,44d3ed4deb4ac7b8
171,63.666667,64.000000,3,f067db67410ca6a5
172,63.333333,64.333333,3,418cf1275861566f
173,63.333333,64.000000,3,a2aed0ec9e5aa2d8
174,63.666667,63.666667,3,44d3ed4deb4ac7b8
175,63.666667,64.000000,3,f067db67410ca6a5
176,63.333333,64.333333,3,418cf1275861566f
177,63.333333,64.000000,3,a2aed0ec9e5aa2d8
178,63.666667,63.666667,3,44d3ed4deb4ac7b8
179,63.666667,64.000000,3,f067db67410ca6a5
180,63.333333,64.333333,3,418cf1275861566f
181,63.333333,64.000000,3,a2aed0ec9e5aa2d8
182,63.666667,63.666667,3,44d3ed4deb4ac7b8
183,63.666667,64.000000,3,f067db67410ca6a5
184,63.333333,64.333333,3,418cf1275861566f
185,63.333333,64.000000,3,a2aed0ec9e5aa2d8
186,63.666667,63.666667,3,44d3ed4deb4ac7b8
187,63.666667,64.000000,3,f067db67410ca6a5
188,63.333333,64.333333,3,418cf1275861566f
189,63.333333,64.000000,3,a2aed0ec9e5aa2d8
190,63.666667,63.666667,3,44d3ed4deb4ac7b8
191,63.666667,64.000000,3,f067db67410ca6a5
192,63.333333,64.333333,3,418cf1275861566f
193,63.333333,64.000000,3,a2aed0ec9e5aa2d8
194,63.666667,63.666667,3,44d3ed4deb4ac7b8
195,63.666667,64.000000,3,f067db67410ca6a5
196,63.333333,64.333333,3,418cf1275861566f
197,63.333333,64.000000,3,a2aed0ec9e5aa2d8
198,63.666667,63.666667,3,44d3ed4deb4ac7b8
199,63.666667,64.000000,3,f067db67410ca6a5
200,63.333333,64.333333,3,418cf1275861566f
201,63.333333,64.000000,3,a2aed0ec9e5aa2d8
202,63.666667,63.666667,3,44d3ed4deb4ac7b8
203,63.666667,64.000000,3,f067db67410ca6a5
204,63.333333,64.333333,3,418cf1275861566f
205,63.333333,64.000000,3,a2aed0ec9e5aa2d8
206,63.666667,63.666667,3,44d3ed4deb4ac7b8
207,63.666667,64.000000,3,f067db67410ca6a5
