step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
0,12,ok,15.167,17.667,17.333,4.3205,2.8987,7.8740,15.500,15.000,15.000,3.5590,4,14.500,21.000,20.000,4.3205,4,15.500,17.000,17.000,0.8165,4
1,12,ok,15.250,18.083,17.000,4.5445,3.0943,8.1471,15.500,15.250,14.750,3.6267,4,14.750,22.000,19.250,4.5445,4,15.500,17.000,17.000,1.1118,4
2,12,ok,15.583,18.917,16.500,4.5886,3.0802,8.2689,15.750,18.000,16.250,0.9647,4,15.250,22.750,19.000,4.5886,4,15.750,16.000,14.250,3.6874,4
3,12,ok,15.514,21.597,17.417,4.9825,3.4633,8.3871,15.875,17.125,15.250,4.9825,8,15.000,25.000,18.000,3.4905,1,15.667,22.667,19.000,1.9168,3
4,12,ok,16.167,21.556,17.444,4.3276,3.0646,7.4703,16.500,18.000,15.000,4.3276,8,16.000,24.667,18.333,3.2399,3,16.000,22.000,19.000,1.6264,1
5,12,ok,16.333,20.250,15.917,4.7449,3.2377,8.4187,16.500,19.000,16.000,1.2638,4,16.500,17.250,13.750,3.7044,4,16.000,24.500,18.000,4.7449,4
6,12,ok,16.667,21.083,15.417,4.7784,3.2157,8.5367,16.750,18.000,13.250,3.7694,4,16.500,25.250,17.750,4.7784,4,16.750,20.000,15.250,1.0992,4
7,12,ok,16.847,24.264,16.083,5.4562,4.0541,10.0296,16.875,19.125,14.250,5.4562,8,17.000,29.000,16.000,4.7393,1,16.667,24.667,18.000,1.9668,3
8,12,ok,17.500,25.111,15.889,5.4490,4.0749,10.2103,17.500,20.000,14.000,5.4490,8,18.000,30.000,16.000,4.9156,1,17.000,25.333,17.667,1.8601,3
9,12,ok,17.417,22.417,14.833,4.9707,3.3970,8.7250,17.500,21.000,15.000,1.4289,4,17.250,27.000,16.750,4.9707,4,17.500,19.250,12.750,3.7914,4
10,12,ok,18.028,26.444,15.083,5.7515,4.4779,11.2083,17.333,26.333,17.000,2.0416,3,19.000,32.000,15.000,5.6406,1,17.750,21.000,13.250,5.7515,8
11,12,ok,18.181,26.931,14.750,6.1703,4.8324,11.9517,17.875,21.125,13.250,6.0040,8,19.000,33.000,14.000,6.1703,1,17.667,26.667,17.000,2.3230,3
12,12,ok,18.833,27.778,14.556,6.3550,4.8868,12.1347,18.000,27.333,16.667,2.3127,3,18.500,22.000,13.000,5.9928,8,20.000,34.000,14.000,6.3550,1
13,12,ok,18.833,28.264,14.069,6.9195,5.2225,12.9627,18.000,27.667,16.333,2.4852,3,18.500,22.125,12.875,6.2629,8,20.000,35.000,13.000,6.9195,1
14,12,ok,18.833,25.417,13.250,5.2334,3.5375,9.1720,19.000,30.250,15.250,5.2334,4,18.750,22.000,11.250,3.9599,4,18.750,24.000,13.250,1.4191,4
15,12,ok,19.514,29.597,13.417,7.6822,5.7211,14.0390,18.875,23.125,12.250,6.6075,8,21.000,37.000,12.000,7.6822,1,18.667,28.667,16.000,2.8736,3
16,12,ok,20.167,30.444,13.222,7.8703,5.7970,14.2215,19.500,24.000,12.000,6.5931,8,22.000,38.000,12.000,7.8703,1,19.000,29.333,15.667,2.9276,3
17,12,ok,20.167,30.931,12.736,8.4552,6.1542,15.1090,19.000,29.667,15.333,3.1151,3,19.500,24.125,11.875,6.8921,8,22.000,39.000,11.000,8.4552,1
18,12,ok,20.694,31.778,12.417,8.6561,6.2853,15.3501,19.333,30.333,15.000,3.2577,3,19.750,25.000,11.250,6.9420,8,23.000,40.000,11.000,8.6561,1
19,12,ok,20.847,32.264,12.083,9.2355,6.6723,16.2279,19.667,30.667,15.000,3.5287,3,19.875,25.125,11.250,7.2528,8,23.000,41.000,10.000,9.2355,1
20,12,ok,21.500,33.111,11.889,9.4250,6.7613,16.4088,24.000,42.000,10.000,9.4250,1,20.500,26.000,11.000,7.2359,8,20.000,31.333,14.667,3.6231,3
21,12,ok,20.667,28.917,11.583,5.7699,3.9471,9.8171,21.000,34.500,13.000,5.7699,4,20.500,27.000,12.000,1.9685,4,20.500,25.250,9.750,4.1028,4
22,12,ok,22.028,34.444,11.083,10.2217,7.2667,15.6405,25.000,44.000,9.000,10.2217,1,20.750,27.000,10.250,7.5991,8,20.333,32.333,14.000,3.9793,3
23,12,ok,22.181,34.931,10.750,10.8123,7.6608,14.8860,20.875,27.125,10.250,7.9298,8,20.667,32.667,14.000,4.2402,3,25.000,45.000,8.000,10.8123,1
24,12,ok,22.833,35.778,10.556,11.0024,7.7579,14.8408,21.000,33.333,13.667,4.3607,3,26.000,46.000,8.000,11.0024,1,21.500,28.000,10.000,7.9108,8
25,12,ok,22.833,36.264,10.069,11.6066,8.1375,15.5849,21.500,28.125,9.875,8.2497,8,26.000,47.000,7.000,11.6066,1,21.000,33.667,13.333,4.5563,3
26,12,ok,23.361,37.111,9.750,11.8056,8.2740,15.9652,21.333,34.333,13.000,4.7319,3,21.750,29.000,9.250,8.2847,8,27.000,48.000,7.000,11.8056,1
27,12,ok,23.514,37.597,9.417,12.4036,8.6729,16.8193,27.000,49.000,6.000,12.4036,1,21.875,29.125,9.250,8.6309,8,21.667,34.667,13.000,4.9840,3
28,12,ok,24.167,38.444,9.222,12.5940,8.7755,17.1917,22.500,30.000,9.000,8.6102,8,28.000,50.000,6.000,12.5940,1,22.000,35.333,12.667,5.1223,3
