step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
27,16,ok,25.929,17.429,41.143,12.0147,9.6131,16.4012,29.000,19.000,52.000,11.3921,1,22.571,15.857,29.714,12.0147,7,23.143,23.857,38.857,7.3696,7,29.000,11.000,44.000,7.6762,1
28,16,ok,26.643,18.107,41.893,12.4359,9.7574,16.9736,23.571,24.143,39.429,7.2067,7,30.000,12.000,45.000,7.6303,1,23.000,16.286,30.143,12.4359,7,30.000,20.000,53.000,11.7568,1
29,16,ok,26.280,18.488,41.595,11.4983,9.5631,17.5121,28.500,23.000,51.000,10.6647,2,23.333,23.667,38.667,6.6389,6,30.000,11.000,46.000,9.4506,1,23.286,16.286,30.714,11.4983,7
30,16,ok,26.821,18.839,42.327,12.1032,9.8011,18.0509,23.286,15.857,31.143,12.1032,7,23.500,23.500,39.167,6.5379,6,29.500,24.000,52.000,11.2857,2,31.000,12.000,47.000,9.2774,1
31,16,ok,26.935,18.298,43.095,12.1158,9.9941,18.0476,23.571,15.857,31.714,12.1158,7,31.000,11.000,48.000,9.6871,1,29.500,23.000,53.000,11.2605,2,23.667,23.333,39.667,6.9132,6
32,16,ok,27.625,18.946,43.827,12.5199,10.2039,17.6543,24.000,23.500,40.167,6.8758,6,30.500,24.000,54.000,11.7169,2,32.000,12.000,49.000,9.7031,1,24.000,16.286,32.143,12.5199,7
33,16,ok,27.780,18.488,44.595,12.5784,10.4379,17.5024,24.286,16.286,32.714,12.5784,7,30.500,23.000,55.000,11.6626,2,24.333,23.667,40.667,7.3573,6,32.000,11.000,50.000,10.1535,1
34,16,ok,28.321,18.839,45.327,13.1774,10.7042,17.3550,24.286,15.857,33.143,13.1774,7,24.500,23.500,41.167,7.3237,6,31.500,24.000,56.000,12.2736,2,33.000,12.000,51.000,10.0421,1
35,16,ok,28.435,18.298,46.095,13.1973,10.8982,18.1200,24.571,15.857,33.714,13.1973,7,33.000,11.000,52.000,10.4386,1,24.667,23.333,41.667,7.6920,6,31.500,23.000,57.000,12.2647,2
36,16,ok,29.125,18.946,46.827,13.6012,11.1313,18.1827,25.000,16.286,34.143,13.6012,7,25.000,23.500,42.167,7.7119,6,32.500,24.000,58.000,12.7184,2,34.000,12.000,53.000,10.4938,1
37,16,ok,29.280,18.488,47.595,13.6646,11.3592,19.0788,25.286,16.286,34.714,13.6646,7,34.000,11.000,54.000,10.9258,1,25.333,23.667,42.667,8.1659,6,32.500,23.000,59.000,12.6805,2
38,16,ok,29.821,18.839,48.327,14.2582,11.6489,19.0402,33.500,24.000,60.000,13.2821,2,25.500,23.500,43.167,8.1872,6,35.000,12.000,55.000,10.8682,1,25.286,15.857,35.143,14.2582,7
39,16,ok,29.854,19.396,48.229,13.7110,11.5399,19.7821,25.667,23.333,43.667,7.3386,6,26.750,16.250,35.250,13.7110,8,35.000,11.000,56.000,12.5441,1,32.000,27.000,58.000,12.5657,1
40,16,ok,28.592,18.908,43.408,15.7803,9.6762,16.6091,28.200,18.800,35.800,7.6192,5,25.667,13.333,35.667,9.9785,3,34.500,20.000,58.000,15.7803,2,26.000,23.500,44.167,5.3268,6
41,16,ok,29.194,19.028,45.694,16.1922,9.4756,22.0530,28.111,17.778,35.444,10.3826,9,36.000,11.000,58.000,16.1922,1,26.333,25.667,44.667,7.3019,3,26.333,21.667,44.667,4.0257,3
42,16,ok,31.321,19.839,44.327,16.2209,10.7222,17.6997,35.500,20.000,60.000,16.2209,2,26.500,23.500,45.167,6.1116,6,37.000,20.000,35.000,10.9212,1,26.286,15.857,37.143,9.6350,7
43,16,ok,29.722,18.778,47.000,16.8065,9.7115,22.7523,28.556,17.444,36.667,10.4841,9,37.000,11.000,60.000,16.8065,1,26.667,25.333,45.667,7.3546,3,26.667,21.333,45.667,4.2006,3
44,16,ok,32.125,18.946,44.827,18.2558,11.6997,21.7549,27.000,16.286,38.143,8.8333,7,38.000,12.000,61.000,18.2558,1,27.000,23.500,46.167,6.9853,6,36.500,24.000,34.000,12.7244,2
45,16,ok,32.280,18.488,37.595,12.1029,8.9833,22.5684,36.500,23.000,35.000,6.7010,2,38.000,11.000,30.000,12.1029,1,27.333,23.667,46.667,11.5575,6,27.286,16.286,38.714,5.5716,7
46,16,ok,32.821,18.839,38.327,11.7746,9.1952,22.6979,27.500,23.500,47.167,11.3213,6,39.000,12.000,31.000,11.7746,1,27.286,15.857,39.143,6.3405,7,37.500,24.000,36.000,7.3443,2
47,16,ok,32.935,18.298,39.095,11.8485,8.9762,22.9347,27.667,23.333,47.667,11.2507,6,27.571,15.857,39.714,5.9247,7,37.500,23.000,37.000,6.8808,2,39.000,11.000,32.000,11.8485,1
48,16,ok,30.750,20.821,43.202,10.7667,7.5081,17.2627,28.000,16.286,40.143,6.1234,7,39.000,20.000,36.333,10.7667,3,28.333,25.667,48.667,7.6925,3,27.667,21.333,47.667,5.4497,3
49,16,ok,33.780,18.488,40.595,11.7584,8.8573,22.6201,28.333,23.667,48.667,11.0286,6,28.286,16.286,40.714,5.9202,7,38.500,23.000,39.000,6.7218,2,40.000,11.000,34.000,11.7584,1
50,16,ok,34.321,18.839,41.327,11.4636,9.1122,22.1177,28.286,15.857,41.143,6.7348,7,28.500,23.500,49.167,10.8197,6,39.500,24.000,40.000,7.4305,2,41.000,12.000,35.000,11.4636,1
51,16,ok,34.435,18.298,42.095,11.5548,8.9207,22.1585,28.571,15.857,41.714,6.3621,7,28.667,23.333,49.667,10.7682,6,41.000,11.000,36.000,11.5548,1,39.500,23.000,41.000,6.9979,2
52,16,ok,38.000,19.904,41.712,10.0334,8.4294,17.4714,29.000,19.615,45.846,9.9085,13,42.000,20.000,45.000,5.1791,1,42.000,12.000,37.000,10.0334,1,39.000,28.000,39.000,8.5965,1
53,16,ok,35.280,18.488,43.595,11.5126,8.8690,21.9393,40.500,23.000,43.000,6.9255,2,29.333,23.667,50.667,10.5916,6,29.286,16.286,42.714,6.4463,7,42.000,11.000,38.000,11.5126,1
54,16,ok,35.821,18.839,44.327,11.2556,9.1578,21.5065,43.000,12.000,39.000,11.2556,1,29.286,15.857,43.143,7.2809,7,29.500,23.500,51.167,10.4143,6,41.500,24.000,44.000,7.6803,2
55,16,ok,35.935,18.298,45.095,11.3639,8.9970,21.5870,29.571,15.857,43.714,6.9536,7,43.000,11.000,40.000,11.3639,1,29.667,23.333,51.667,10.3840,6,41.500,23.000,45.000,7.2867,2
56,16,ok,34.188,18.750,46.292,10.2721,7.3065,17.4244,33.000,21.250,44.000,3.5933,4,44.000,16.000,45.000,10.2721,2,29.750,14.250,44.000,6.7226,4,30.000,23.500,52.167,8.6379,6
57,16,ok,33.509,21.009,48.762,10.2894,7.4582,16.0295,30.250,22.250,53.000,5.4884,4,30.286,16.286,44.714,7.0058,7,30.500,26.500,52.000,7.0492,2,43.000,19.000,45.333,10.2894,3
58,16,ok,37.321,18.839,47.327,11.1563,9.3248,21.1154,45.000,12.000,43.000,11.1563,1,30.286,15.857,45.143,7.9477,7,30.500,23.500,53.167,10.1169,6,43.500,24.000,48.000,8.0784,2
59,16,ok,37.435,18.298,48.095,11.2811,9.1955,21.2368,43.500,23.000,49.000,7.7279,2,30.571,15.857,45.714,7.6634,7,30.667,23.333,53.667,10.1096,6,45.000,11.000,44.000,11.2811,1
60,16,ok,38.125,18.946,48.827,11.1766,9.3654,21.0066,31.000,23.500,54.167,10.0004,6,44.500,24.000,50.000,8.2191,2,46.000,12.000,45.000,11.1766,1,31.000,16.286,46.143,8.0655,7
61,16,ok,38.280,18.488,49.595,11.3402,9.2674,21.2289,46.000,11.000,46.000,11.3402,1,31.333,23.667,54.667,10.0394,6,31.286,16.286,46.714,7.8783,7,44.500,23.000,51.000,7.8117,2
62,16,ok,38.821,18.839,50.327,11.1685,9.6044,20.9570,45.500,24.000,52.000,8.6043,2,47.000,12.000,47.000,11.1685,1,31.500,23.500,55.167,9.9370,6,31.286,15.857,47.143,8.7075,7
63,16,ok,38.935,18.298,51.095,11.3087,9.5054,21.1187,45.500,23.000,53.000,8.2973,2,47.000,11.000,48.000,11.3087,1,31.571,15.857,47.714,8.4618,7,31.667,23.333,55.667,9.9538,6
