step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
0,12,ok,15.500,18.750,15.750,7.0000,4.6667,13.0000,15.500,17.750,15.750,1.0000,4,15.500,25.750,15.750,7.0000,4,15.500,12.750,15.750,6.0000,4
1,12,ok,16.250,19.250,16.750,7.0000,4.6667,13.0000,16.250,26.250,16.750,7.0000,4,16.250,18.250,16.750,1.0000,4,16.250,13.250,16.750,6.0000,4
2,12,ok,16.500,18.750,17.750,7.0000,4.6667,13.0000,16.500,17.750,17.750,1.0000,4,16.500,25.750,17.750,7.0000,4,16.500,12.750,17.750,6.0000,4
3,12,ok,17.250,19.250,18.750,7.0000,4.6667,13.0000,17.250,13.250,18.750,6.0000,4,17.250,26.250,18.750,7.0000,4,17.250,18.250,18.750,1.0000,4
4,12,ok,17.500,18.750,19.750,7.0000,4.6667,13.0000,17.500,12.750,19.750,6.0000,4,17.500,25.750,19.750,7.0000,4,17.500,17.750,19.750,1.0000,4
5,12,ok,18.261,19.683,20.694,6.5669,4.4116,12.4526,18.250,26.250,20.750,6.5669,4,18.200,13.800,21.000,5.8916,5,18.333,19.000,20.333,0.7762,3
6,12,ok,18.500,18.750,21.750,7.0000,4.6667,13.0000,18.500,12.750,21.750,6.0000,4,18.500,25.750,21.750,7.0000,4,18.500,17.750,21.750,1.0000,4
7,12,ok,19.250,19.250,22.750,7.0000,4.6667,13.0000,19.250,18.250,22.750,1.0000,4,19.250,26.250,22.750,7.0000,4,19.250,13.250,22.750,6.0000,4
8,12,ok,19.500,18.750,23.750,7.0000,4.6667,13.0000,19.500,12.750,23.750,6.0000,4,19.500,25.750,23.750,7.0000,4,19.500,17.750,23.750,1.0000,4
9,12,ok,20.250,19.250,24.750,7.0000,4.6667,13.0000,20.250,18.250,24.750,1.0000,4,20.250,26.250,24.750,7.0000,4,20.250,13.250,24.750,6.0000,4
10,12,ok,20.500,18.750,25.750,7.0000,4.6667,13.0000,20.500,25.750,25.750,7.0000,4,20.500,12.750,25.750,6.0000,4,20.500,17.750,25.750,1.0000,4
