step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
0,16,ok,15.000,20.750,17.500,6.7500,5.0455,13.0384,14.500,27.000,20.000,6.7500,4,15.500,15.000,15.000,6.2899,4,14.500,24.000,18.000,3.3260,4,15.500,17.000,17.000,3.8161,4
1,16,ok,15.250,21.750,16.750,6.7500,5.0455,13.0384,14.750,28.000,19.250,6.7500,4,15.750,16.000,14.250,6.2899,4,15.750,18.000,16.250,3.8161,4,14.750,25.000,17.250,3.3260,4
2,16,ok,15.667,24.917,17.000,7.2481,3.6838,11.7473,16.500,18.000,15.000,7.2481,8,15.500,29.000,19.000,4.5499,4,15.667,25.667,17.000,0.7500,3,15.000,27.000,17.000,2.1874,1
3,16,ok,16.000,26.500,16.750,7.9412,4.1271,12.2219,15.750,27.000,16.250,0.7500,4,16.750,19.000,14.250,7.9412,8,16.500,29.500,18.500,3.5089,2,15.000,30.500,18.000,4.3084,2
4,16,ok,17.000,24.750,15.500,6.7500,5.0455,13.0384,16.500,31.000,18.000,6.7500,4,17.500,19.000,13.000,6.2899,4,16.500,28.000,16.000,3.3260,4,17.500,21.000,15.000,3.8161,4
5,16,ok,17.500,23.625,14.250,7.1992,3.7412,11.2805,17.750,20.000,12.250,4.1477,4,16.750,30.500,16.250,7.1992,8,17.000,22.500,14.000,1.2562,2,18.500,21.500,14.500,2.3618,2
6,16,ok,18.000,26.750,14.500,6.7500,5.0455,13.0384,17.500,30.000,15.000,3.3260,4,18.500,23.000,14.000,3.8161,4,17.500,33.000,17.000,6.7500,4,18.500,21.000,12.000,6.2899,4
7,16,ok,18.250,27.750,13.750,6.7500,5.0455,13.0384,17.750,34.000,16.250,6.7500,4,18.750,24.000,13.250,3.8161,4,17.750,31.000,14.250,3.3260,4,18.750,22.000,11.250,6.2899,4
8,16,ok,19.000,28.750,13.500,6.7500,5.0455,13.0384,19.500,25.000,13.000,3.8161,4,18.500,35.000,16.000,6.7500,4,18.500,32.000,14.000,3.3260,4,19.500,23.000,11.000,6.2899,4
9,16,ok,19.250,29.750,12.750,6.7500,5.0455,13.0384,18.750,33.000,13.250,3.3260,4,19.750,24.000,10.250,6.2899,4,18.750,36.000,15.250,6.7500,4,19.750,26.000,12.250,3.8161,4
10,16,ok,20.000,30.750,12.500,6.7500,5.0455,13.0384,20.500,27.000,12.000,3.8161,4,19.500,34.000,13.000,3.3260,4,19.500,37.000,15.000,6.7500,4,20.500,25.000,10.000,6.2899,4
11,16,ok,20.250,31.750,11.750,6.7500,5.0455,13.0384,20.750,26.000,9.250,6.2899,4,19.750,38.000,14.250,6.7500,4,19.750,35.000,12.250,3.3260,4,20.750,28.000,11.250,3.8161,4
12,16,ok,21.000,32.750,11.500,6.7500,5.0455,13.0384,21.500,27.000,9.000,6.2899,4,20.500,39.000,14.000,6.7500,4,21.500,29.000,11.000,3.8161,4,20.500,36.000,12.000,3.3260,4
