step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
0,16,ok,15.000,20.750,17.500,6.7500,5.0455,13.0384,14.500,27.000,20.000,6.7500,4,15.500,15.000,15.000,6.2899,4,14.500,24.000,18.000,3.3260,4,15.500,17.000,17.000,3.8161,4
1,16,ok,14.938,24.312,17.875,8.3568,4.3406,12.7622,15.500,27.500,19.500,3.6218,2,15.500,16.250,15.750,8.3568,8,14.000,28.500,19.000,4.4362,2,14.750,25.000,17.250,0.9479,4
2,16,ok,15.312,21.812,16.750,6.9130,5.1001,13.2524,15.750,16.000,14.250,6.3424,4,15.000,28.250,19.250,6.9130,4,15.750,18.000,16.250,3.8700,4,14.750,25.000,17.250,3.2751,4
3,16,ok,15.750,22.579,16.671,6.9918,5.2236,13.5128,16.000,16.400,14.600,6.5217,5,15.500,29.250,18.750,6.9918,4,16.000,18.667,16.333,3.9350,3,15.500,26.000,17.000,3.4457,4
4,16,ok,16.062,22.875,16.438,7.0240,5.1371,13.3931,15.750,29.500,18.750,7.0240,4,16.500,17.000,14.000,6.3756,4,15.500,26.000,17.000,3.2247,4,16.500,19.000,16.000,3.9241,4
5,16,ok,16.188,23.500,15.938,7.2999,5.4339,13.9239,16.500,17.250,13.750,6.6291,4,15.750,27.000,16.250,3.5411,4,16.500,19.250,15.750,4.2656,4,16.000,30.500,18.000,7.2999,4
6,16,ok,16.375,27.417,16.458,8.7096,4.7692,15.2520,16.000,29.667,18.333,2.9528,3,16.750,19.000,14.250,8.7096,8,15.750,27.000,16.250,0.7795,4,17.000,34.000,17.000,6.6351,1
7,16,ok,16.893,25.661,15.339,9.3632,6.5721,15.4960,16.571,29.143,16.857,3.8122,7,17.000,18.250,13.250,7.7003,4,17.000,35.000,16.000,9.3632,1,17.000,20.250,15.250,5.4125,4
8,16,ok,17.125,25.000,15.375,7.3165,5.2357,13.7659,17.000,32.000,17.500,7.3165,4,17.500,19.000,13.000,6.4638,4,16.500,28.000,16.000,3.1275,4,17.500,21.000,15.000,4.0350,4
9,16,ok,17.312,29.479,15.333,9.3659,5.1624,15.3093,17.500,20.250,13.750,9.3659,8,18.000,37.000,15.000,7.5595,1,16.750,29.000,15.250,0.7436,4,17.000,31.667,17.333,2.9804,3
10,16,ok,17.625,29.917,15.208,9.1300,5.3557,15.1534,17.750,21.000,13.250,9.1300,8,16.750,29.000,15.250,1.2679,4,17.000,31.667,17.333,2.8229,3,19.000,38.000,15.000,8.2021,1
11,16,ok,18.143,28.302,14.198,10.7337,6.9438,15.7021,17.571,31.143,15.857,3.3390,7,18.000,20.400,12.600,8.0635,5,18.000,22.667,14.333,5.6392,3,19.000,39.000,14.000,10.7337,1
12,16,ok,18.643,28.786,13.964,11.2962,7.0805,15.0748,18.500,21.000,12.000,8.0310,4,17.571,31.143,15.857,3.2073,7,20.000,40.000,14.000,11.2962,1,18.500,23.000,14.000,5.7876,4
13,16,ok,18.714,29.411,13.411,11.6676,7.3797,14.3483,18.500,23.250,13.750,6.1738,4,17.857,32.143,15.143,3.3466,7,20.000,41.000,13.000,11.6676,1,18.500,21.250,11.750,8.3307,4
14,16,ok,19.089,30.036,13.161,12.1170,7.3935,14.1819,18.750,22.000,11.250,8.2667,4,17.857,32.143,15.143,3.1444,7,18.750,24.000,13.250,6.0459,4,21.000,42.000,13.000,12.1170,1
15,16,ok,19.393,30.661,12.839,12.4718,7.6888,13.0432,19.750,22.750,12.500,7.9260,4,21.000,43.000,12.000,12.4718,1,18.571,33.143,14.857,3.3027,7,18.250,23.750,12.000,7.0547,4
16,16,ok,19.667,33.667,13.500,10.6992,6.3625,12.6590,18.500,32.000,14.000,2.0950,4,19.500,24.000,12.000,9.7838,8,22.000,44.000,12.000,10.6992,1,18.667,34.667,16.000,2.8723,3
17,16,ok,19.812,34.479,12.833,10.9011,6.4862,12.6343,19.500,24.250,11.750,10.2911,8,18.750,33.000,13.250,1.8683,4,22.000,45.000,11.000,10.9011,1,19.000,35.667,15.333,2.8845,3
18,16,ok,20.339,32.536,11.911,13.7548,8.0415,12.9473,19.750,24.000,10.250,8.7157,4,18.857,34.143,14.143,3.1244,7,23.000,46.000,11.000,13.7548,1,19.750,26.000,12.250,6.5710,4
