step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
33,12,ok,29.179,17.679,43.321,11.7640,10.2780,18.6912,24.286,16.286,32.714,11.7640,7,32.000,11.000,50.000,9.8573,1,31.250,25.750,47.250,9.2126,4
34,12,ok,27.011,18.272,38.406,12.6989,8.6149,20.2082,32.200,23.400,48.800,12.6989,5,24.333,13.667,32.667,7.8305,3,24.500,17.750,33.750,5.3153,4
35,12,ok,29.940,17.536,44.988,12.5993,10.7331,19.9546,33.000,11.000,52.000,10.0620,1,32.250,25.750,49.250,9.5379,4,24.571,15.857,33.714,12.5993,7
36,12,ok,30.667,18.131,45.845,13.0264,10.8493,20.5186,33.000,26.250,50.250,9.5271,4,25.000,16.143,34.286,13.0264,7,34.000,12.000,53.000,9.9945,1
37,12,ok,30.845,17.679,46.655,13.2447,11.0852,19.8027,33.250,25.750,51.250,9.5941,4,34.000,11.000,54.000,10.4167,1,25.286,16.286,34.714,13.2447,7
38,12,ok,31.476,18.083,47.512,13.7983,11.2808,20.1148,34.000,26.250,52.250,9.7731,4,25.429,16.000,35.286,13.7983,7,35.000,12.000,55.000,10.2711,1
39,12,ok,28.522,17.961,41.739,14.2630,9.7086,18.9255,25.667,13.333,35.667,8.1512,3,25.500,17.750,35.750,6.7116,4,34.400,22.800,53.800,14.2630,5
40,12,ok,32.333,18.131,49.179,14.5014,11.6772,19.4976,26.000,16.143,36.286,14.5014,7,35.000,26.250,54.250,9.9373,4,36.000,12.000,57.000,10.5928,1
41,12,ok,32.512,17.679,49.988,14.7275,11.9141,18.7408,35.250,25.750,55.250,10.0166,4,26.286,16.286,36.714,14.7275,7,36.000,11.000,58.000,10.9982,1
42,12,ok,33.143,18.083,50.845,15.2736,12.1185,19.1469,36.000,26.250,56.250,10.2014,4,26.429,16.000,37.286,15.2736,7,37.000,12.000,59.000,10.8805,1
43,12,ok,33.274,17.536,51.655,15.5588,12.3898,18.6253,36.250,25.750,57.250,10.3749,4,26.571,15.857,37.714,15.5588,7,37.000,11.000,60.000,11.2358,1
44,12,ok,34.000,18.131,52.512,15.9793,12.5243,18.6283,27.000,16.143,38.286,15.9793,7,37.000,26.250,58.250,10.3848,4,38.000,12.000,61.000,11.2088,1
45,12,ok,34.179,17.679,53.321,16.2117,12.7618,17.8966,37.250,25.750,59.250,10.4752,4,38.000,11.000,62.000,11.5985,1,27.286,16.286,38.714,16.2117,7
46,12,ok,34.810,18.083,54.179,16.7516,12.9740,18.4012,27.429,16.000,39.286,16.7516,7,39.000,12.000,63.000,11.5059,1,38.000,26.250,60.250,10.6647,4
47,12,ok,35.537,23.241,53.333,17.7147,11.8136,16.3318,30.111,16.222,38.000,17.7147,9,39.000,28.000,63.000,11.3176,1,37.500,25.500,59.000,6.4085,2
48,12,ok,35.833,22.708,43.958,16.6179,13.2134,18.1289,39.500,26.000,32.500,12.4729,2,38.500,26.500,60.000,16.6179,2,29.500,15.625,39.375,10.5495,8
49,12,ok,35.845,17.679,35.321,9.6601,9.0085,17.3021,28.286,16.286,40.714,9.3899,7,40.000,11.000,34.000,7.9757,1,39.250,25.750,31.250,9.6601,4
50,12,ok,36.476,18.083,36.179,9.7564,9.0506,17.9054,41.000,12.000,35.000,7.6721,1,28.429,16.000,41.286,9.7564,7,40.000,26.250,32.250,9.7234,4
51,12,ok,32.522,17.961,39.072,10.6429,7.3460,17.0051,28.667,13.333,41.667,6.5584,3,28.500,17.750,41.750,4.8367,4,40.400,22.800,33.800,10.6429,5
52,12,ok,37.333,18.131,37.845,9.6496,9.0025,17.6275,29.000,16.143,42.286,9.6496,7,41.000,26.250,34.250,9.6067,4,42.000,12.000,37.000,7.7512,1
53,12,ok,37.512,17.679,38.655,9.5244,8.9586,16.9833,41.250,25.750,35.250,9.5244,4,29.286,16.286,42.714,9.2785,7,42.000,11.000,38.000,8.0731,1
54,12,ok,38.143,18.083,39.512,9.7222,9.0421,17.6806,42.000,26.250,36.250,9.6027,4,29.429,16.000,43.286,9.7222,7,43.000,12.000,39.000,7.8013,1
55,12,ok,38.274,17.536,40.321,9.6290,9.0637,17.3321,29.571,15.857,43.714,9.4900,7,43.000,11.000,40.000,8.0719,1,42.250,25.750,37.250,9.6290,4
56,12,ok,39.000,18.131,41.179,9.7266,9.0509,17.5381,30.000,16.143,44.286,9.7266,7,43.000,26.250,38.250,9.5129,4,44.000,12.000,41.000,7.9133,1
57,12,ok,39.179,17.679,41.988,9.4457,9.0293,16.9559,44.000,11.000,42.000,8.2371,1,43.250,25.750,39.250,9.4457,4,30.286,16.286,44.714,9.4051,7
58,12,ok,35.011,18.272,43.739,10.9255,7.5073,17.3774,44.200,23.400,40.800,10.9255,5,30.333,13.667,44.667,6.6297,3,30.500,17.750,45.750,4.9666,4
59,12,ok,39.940,17.536,43.655,9.7385,9.1979,17.4614,45.000,11.000,44.000,8.2725,1,30.571,15.857,45.714,9.7385,7,44.250,25.750,41.250,9.5828,4
60,12,ok,40.667,18.131,44.512,10.0271,9.2149,17.7325,31.000,16.143,46.286,10.0271,7,45.000,26.250,42.250,9.4770,4,46.000,12.000,45.000,8.1407,1
61,12,ok,40.845,17.679,45.321,9.7604,9.2166,17.2214,45.250,25.750,43.250,9.4255,4,31.286,16.286,46.714,9.7604,7,46.000,11.000,46.000,8.4638,1
62,12,ok,41.476,18.083,46.179,10.3209,9.3706,18.0722,46.000,26.250,44.250,9.5330,4,31.429,16.000,47.286,10.3209,7,47.000,12.000,47.000,8.2580,1
63,12,ok,41.607,17.536,46.988,10.2010,9.4430,17.8718,46.250,25.750,45.250,9.5944,4,47.000,11.000,48.000,8.5336,1,31.571,15.857,47.714,10.2010,7
64,12,ok,37.094,18.800,47.794,11.1477,7.7138,18.1429,47.200,23.400,46.800,11.1477,5,31.750,14.000,48.250,7.1980,4,32.333,19.000,48.333,4.7957,3
65,12,ok,42.512,17.679,48.655,10.3208,9.5111,17.7664,47.250,25.750,47.250,9.4642,4,32.286,16.286,48.714,10.3208,7,48.000,11.000,50.000,8.7483,1
66,12,ok,43.143,18.083,49.512,10.9173,9.6925,18.6710,32.429,16.000,49.286,10.9173,7,48.000,26.250,48.250,9.5853,4,49.000,12.000,51.000,8.5748,1
67,12,ok,37.856,17.961,49.739,11.6019,7.9716,18.3623,32.667,13.333,49.667,6.9531,3,48.400,22.800,49.800,11.6019,5,32.500,17.750,49.750,5.3597,4
68,12,ok,44.000,18.131,51.179,11.2138,9.8546,18.9250,49.000,26.250,50.250,9.5802,4,33.000,16.143,50.286,11.2138,7,50.000,12.000,53.000,8.7696,1
69,12,ok,44.179,17.679,51.988,11.0552,9.9004,18.5666,50.000,11.000,54.000,9.0852,1,33.286,16.286,50.714,11.0552,7,49.250,25.750,51.250,9.5610,4
70,12,ok,44.810,18.083,52.845,11.6747,10.1041,18.5481,33.429,16.000,51.286,11.6747,7,51.000,12.000,55.000,8.9427,1,50.000,26.250,52.250,9.6948,4
71,12,ok,39.189,17.961,52.406,12.2902,8.4211,18.0898,33.667,13.333,51.667,7.2427,3,50.400,22.800,53.800,12.2902,5,33.500,17.750,51.750,5.7304,4
72,12,ok,45.667,18.131,54.512,12.0424,10.3064,18.1938,52.000,12.000,57.000,9.1592,1,34.000,16.143,52.286,12.0424,7,51.000,26.250,54.250,9.7176,4
73,12,ok,45.845,17.679,55.321,11.9315,10.3715,17.9465,34.286,16.286,52.714,11.9315,7,52.000,11.000,58.000,9.4689,1,51.250,25.750,55.250,9.7141,4
74,12,ok,46.476,18.083,56.179,12.5640,10.5931,17.9453,34.429,16.000,53.286,12.5640,7,52.000,26.250,56.250,9.8596,4,53.000,12.000,59.000,9.3556,1
75,12,ok,46.607,17.536,56.988,12.5855,10.7268,17.7616,34.571,15.857,53.714,12.5855,7,53.000,11.000,60.000,9.6258,1,52.250,25.750,57.250,9.9692,4
76,12,ok,47.333,18.131,57.845,12.9898,10.8300,17.7164,35.000,16.143,54.286,12.9898,7,53.000,26.250,58.250,9.9093,4,54.000,12.000,61.000,9.5909,1
77,12,ok,47.512,17.679,58.655,12.9208,10.9119,17.5256,35.286,16.286,54.714,12.9208,7,53.250,25.750,59.250,9.9211,4,54.000,11.000,62.000,9.8939,1
78,12,ok,48.143,18.083,59.512,13.5593,11.1480,17.6078,35.429,16.000,55.286,13.5593,7,54.000,26.250,60.250,10.0770,4,55.000,12.000,63.000,9.8079,1
79,12,ok,48.190,19.897,49.349,16.3328,15.0087,17.7558,35.571,15.857,55.714,14.6994,7,55.000,17.500,32.000,16.3328,2,54.000,26.333,60.333,13.9939,3
80,12,ok,48.722,21.325,49.651,16.5439,14.9109,17.4160,36.000,16.143,56.286,15.2557,7,55.667,21.333,32.667,16.5439,3,54.500,26.500,60.000,12.9331,2
81,12,ok,48.929,20.929,50.460,16.7703,14.7960,17.1265,36.286,16.286,56.714,14.8496,7,56.000,21.000,33.667,16.7703,3,54.500,25.500,61.000,12.7681,2
82,12,ok,49.532,21.278,51.317,16.9266,15.1887,17.3096,36.429,16.000,57.286,15.3352,7,56.667,21.333,34.667,16.9266,3,55.500,26.500,62.000,13.3044,2
83,12,ok,49.690,20.786,52.127,17.1743,15.1532,17.0817,57.000,21.000,35.667,17.1743,3,36.571,15.857,57.714,15.0870,7,55.500,25.500,63.000,13.1984,2
84,12,ok,43.761,18.800,50.461,21.1432,14.2783,17.1716,57.200,23.400,34.800,21.1432,5,37.333,19.000,58.333,10.1650,3,36.750,14.000,58.250,11.5266,4
85,12,ok,50.845,17.679,43.988,20.0664,15.0168,17.5297,37.286,16.286,58.714,20.0664,7,58.000,11.000,38.000,11.4739,1,57.250,25.750,35.250,13.5101,4
86,12,ok,44.367,18.867,41.367,16.5580,15.4749,17.1079,37.400,15.200,58.800,16.5580,5,58.200,23.400,36.800,15.2567,5,37.500,18.000,28.500,14.6100,2
87,12,ok,51.607,17.536,34.988,15.8974,12.5895,17.8037,37.571,15.857,27.714,15.8974,7,59.000,11.000,40.000,11.0675,1,58.250,25.750,37.250,10.8036,4
88,12,ok,52.333,18.131,35.845,16.3262,12.7303,17.9567,59.000,26.250,38.250,10.7771,4,38.000,16.143,28.286,16.3262,7,60.000,12.000,41.000,11.0877,1
89,12,ok,52.512,17.679,36.655,16.3516,12.8500,17.9544,38.286,16.286,28.714,16.3516,7,59.250,25.750,39.250,10.8298,4,60.000,11.000,42.000,11.3687,1
90,12,ok,53.143,18.083,37.512,16.9859,13.1157,18.2766,60.000,26.250,40.250,11.0096,4,38.429,16.000,29.286,16.9859,7,61.000,12.000,43.000,11.3517,1
91,12,ok,45.856,17.961,33.739,17.3187,11.7196,18.4997,38.667,13.333,29.667,9.4699,3,60.400,22.800,41.800,17.3187,5,38.500,17.750,29.750,8.3702,4
92,12,ok,43.222,20.437,38.873,16.0229,13.7374,18.4276,30.000,18.500,45.000,14.7009,2,60.667,26.667,41.333,16.0229,3,39.000,16.143,30.286,10.4883,7
93,12,ok,32.845,17.679,39.988,11.3764,10.0736,18.6498,39.286,16.286,30.714,11.3764,7,30.000,11.000,46.000,9.4256,1,29.250,25.750,43.250,9.4188,4
94,12,ok,33.476,18.083,40.845,11.4523,9.9866,19.0272,30.000,26.250,44.250,9.5064,4,39.429,16.000,31.286,11.4523,7,31.000,12.000,47.000,9.0011,1
95,12,ok,33.607,17.536,41.655,11.7134,10.2543,19.1826,39.571,15.857,31.714,11.7134,7,30.250,25.750,45.250,9.5745,4,31.000,11.000,48.000,9.4750,1
96,12,ok,37.094,18.800,37.128,12.2252,8.4517,19.3175,31.200,23.400,46.800,12.2252,5,39.750,14.000,32.250,7.3406,4,40.333,19.000,32.333,5.7894,3
97,12,ok,34.512,17.679,43.321,12.1568,10.4937,19.5577,32.000,11.000,50.000,9.7732,1,40.286,16.286,32.714,12.1568,7,31.250,25.750,47.250,9.5510,4
98,12,ok,35.143,18.083,44.179,12.2855,10.4415,20.0008,40.429,16.000,33.286,12.2855,7,32.000,26.250,48.250,9.6513,4,33.000,12.000,51.000,9.3878,1
99,12,ok,35.274,17.536,44.988,12.5691,10.7187,20.2107,40.571,15.857,33.714,12.5691,7,33.000,11.000,52.000,9.8515,1,32.250,25.750,49.250,9.7356,4
100,12,ok,38.428,18.800,39.794,13.0235,8.9684,19.5976,40.750,14.000,34.250,7.6924,4,33.200,23.400,50.800,13.0235,5,41.333,19.000,34.333,6.1892,3
101,12,ok,36.179,17.679,46.655,13.0613,10.9879,19.8315,34.000,11.000,54.000,10.1638,1,41.286,16.286,34.714,13.0613,7,33.250,25.750,51.250,9.7386,4
102,12,ok,36.810,18.083,47.512,13.2346,10.9671,19.6550,41.429,16.000,35.286,13.2346,7,34.000,26.250,52.250,9.8508,4,35.000,12.000,55.000,9.8160,1
103,12,ok,39.189,17.961,41.739,13.8499,9.4331,18.2950,41.667,13.333,35.667,8.0267,3,34.400,22.800,53.800,13.8499,5,41.500,17.750,35.750,6.4228,4
