step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
33,12,ok,31.539,50.667,0.683,4.2803,2.9811,6.7086,32.667,49.000,0.000,2.1252,3,30.750,54.000,3.250,4.2803,4,31.200,49.000,-1.200,2.5376,5
34,12,ok,32.167,51.667,0.333,4.3205,2.8987,7.8740,32.500,51.000,0.000,0.8165,4,31.500,55.000,3.000,4.3205,4,32.500,49.000,-2.000,3.5590,4
35,12,ok,32.417,52.667,-0.417,4.3205,2.8987,7.8740,32.750,52.000,-0.750,0.8165,4,31.750,56.000,2.250,4.3205,4,32.750,50.000,-2.750,3.5590,4
36,12,ok,33.167,53.667,-0.667,4.3205,2.8987,7.8740,33.500,53.000,-1.000,0.8165,4,32.500,57.000,2.000,4.3205,4,33.500,51.000,-3.000,3.5590,4
37,12,ok,33.417,54.667,-1.417,4.3205,2.8987,7.8740,33.750,52.000,-3.750,3.5590,4,32.750,58.000,1.250,4.3205,4,33.750,54.000,-1.750,0.8165,4
38,12,ok,34.167,55.667,-1.667,4.3205,2.8987,7.8740,33.500,59.000,1.000,4.3205,4,34.500,55.000,-2.000,0.8165,4,34.500,53.000,-4.000,3.5590,4
39,12,ok,34.417,56.667,-2.417,4.3205,2.8987,7.8740,34.750,56.000,-2.750,0.8165,4,34.750,54.000,-4.750,3.5590,4,33.750,60.000,0.250,4.3205,4
40,12,ok,35.167,57.667,-2.667,4.3205,2.8987,7.8740,34.500,61.000,0.000,4.3205,4,35.500,55.000,-5.000,3.5590,4,35.500,57.000,-3.000,0.8165,4
41,12,ok,35.083,60.333,-2.083,4.3205,2.9948,6.8829,35.750,57.000,-4.750,4.3205,8,34.000,62.500,-1.000,2.6536,2,35.500,61.500,-0.500,2.0104,2
42,12,ok,35.722,50.889,-2.333,13.1985,10.8953,7.3655,35.667,62.667,-1.000,11.8531,3,35.000,32.000,-1.000,13.1985,1,36.500,58.000,-5.000,7.6344,8
43,12,ok,36.339,50.311,-4.206,14.2661,10.8892,8.1930,36.600,60.600,-4.200,10.2922,5,35.667,32.333,-1.667,14.2661,3,36.750,58.000,-6.750,8.1094,4
44,12,ok,37.167,51.000,-4.667,14.2673,10.8728,7.8740,37.500,59.000,-7.000,8.3400,4,36.500,33.000,-2.000,14.2673,4,37.500,61.000,-5.000,10.0111,4
45,12,ok,37.417,52.000,-5.417,14.2673,10.8728,7.8740,36.750,34.000,-2.750,14.2673,4,37.750,60.000,-7.750,8.3400,4,37.750,62.000,-5.750,10.0111,4
46,12,ok,38.256,52.689,-5.867,13.9127,10.8279,7.0235,38.667,62.667,-6.000,9.9871,3,37.600,34.400,-3.600,13.9127,5,38.500,61.000,-8.000,8.5840,4
