step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
27,16,ok,29.271,21.438,48.771,8.2824,4.8646,13.5675,29.333,27.000,50.333,5.7781,3,29.250,15.750,42.750,8.2824,8,29.500,20.000,51.000,2.6624,2,29.000,23.000,51.000,2.7357,3
28,16,ok,29.500,21.875,49.750,8.9382,5.0215,13.6702,29.500,20.750,51.750,2.2947,4,29.500,15.250,43.750,8.9382,8,29.000,26.500,51.500,4.9702,2,30.000,25.000,52.000,3.8831,2
29,16,ok,30.208,20.750,50.958,7.9715,4.7835,13.2004,30.250,26.250,52.750,5.7846,4,30.250,15.750,44.750,7.9715,8,30.333,22.000,52.333,1.8625,3,30.000,19.000,54.000,3.5153,1
30,16,ok,30.500,19.250,49.750,7.6322,5.9521,15.2643,30.500,17.750,45.750,4.2720,4,30.500,25.750,53.750,7.6322,4,30.500,20.750,53.750,4.2720,4,30.500,12.750,45.750,7.6322,4
31,16,ok,31.258,20.075,50.708,7.8898,6.1728,15.7028,31.200,21.800,55.000,4.6257,5,31.250,18.250,46.750,4.3588,4,31.333,27.000,54.333,7.8168,3,31.250,13.250,46.750,7.8898,4
32,16,ok,31.500,19.250,51.750,7.6322,5.9521,15.2643,31.500,20.750,55.750,4.2720,4,31.500,25.750,55.750,7.6322,4,31.500,12.750,47.750,7.6322,4,31.500,17.750,47.750,4.2720,4
33,16,ok,32.208,17.062,50.958,8.8469,5.4091,14.4287,32.333,19.000,48.333,3.2650,3,32.250,23.750,56.750,8.8469,8,32.250,14.500,48.750,3.3830,4,32.000,11.000,50.000,6.1413,1
34,16,ok,32.500,19.250,53.750,7.6322,5.9521,15.2643,32.500,20.750,57.750,4.2720,4,32.500,12.750,49.750,7.6322,4,32.500,25.750,57.750,7.6322,4,32.500,17.750,49.750,4.2720,4
35,16,ok,33.250,19.750,54.750,7.6322,5.9521,15.2643,33.250,18.250,50.750,4.2720,4,33.250,21.250,58.750,4.2720,4,33.250,26.250,58.750,7.6322,4,33.250,13.250,50.750,7.6322,4
36,16,ok,33.500,19.250,55.750,7.6322,5.9521,15.2643,33.500,25.750,59.750,7.6322,4,33.500,12.750,51.750,7.6322,4,33.500,20.750,59.750,4.2720,4,33.500,17.750,51.750,4.2720,4
37,16,ok,34.250,19.750,56.750,7.6322,5.9521,15.2643,34.250,21.250,60.750,4.2720,4,34.250,13.250,52.750,7.6322,4,34.250,18.250,52.750,4.2720,4,34.250,26.250,60.750,7.6322,4
38,16,ok,34.500,19.250,57.750,7.6322,5.9521,15.2643,34.500,12.750,53.750,7.6322,4,34.500,25.750,61.750,7.6322,4,34.500,17.750,53.750,4.2720,4,34.500,20.750,61.750,4.2720,4
39,16,ok,35.229,21.562,52.854,11.1484,9.4201,13.5675,35.333,27.000,62.333,10.9285,3,35.333,22.000,62.333,9.4898,3,35.000,21.500,32.000,11.1484,2,35.250,15.750,54.750,6.1139,8
40,16,ok,35.500,21.188,53.562,11.1793,9.3364,12.5549,35.500,23.500,32.500,11.1793,4,35.500,20.500,63.000,9.4625,2,35.500,15.250,55.750,6.3276,8,35.500,25.500,63.000,10.3761,2
41,16,ok,36.362,22.762,38.562,15.4911,9.0466,14.0779,36.250,15.750,56.750,15.4911,8,36.200,21.800,33.000,5.6475,5,36.000,27.500,32.500,7.7025,2,37.000,26.000,32.000,7.3454,1
42,16,ok,36.500,19.250,29.750,7.6322,5.9521,15.2643,36.500,12.750,25.750,7.6322,4,36.500,25.750,33.750,7.6322,4,36.500,20.750,33.750,4.2720,4,36.500,17.750,25.750,4.2720,4
