step,bit_count,num_components,sim_time_ms
106,6,4,0.7946000114316121
107,6,4,0.8280000038212165
108,6,4,0.7951000006869435
109,6,4,0.8222000033129007
110,6,4,0.8094999939203262
111,6,4,0.822000001790002
112,6,4,0.7994000043254346
113,6,4,0.825700000859797
114,6,4,0.7921000069472939
115,6,4,0.830000004498288
116,6,4,0.793700004578568
117,6,4,0.829099997645244
118,6,4,0.7925000099930912
119,6,4,0.82230000407435
120,6,4,0.8010000019567087
121,6,4,0.9160000045085326
122,6,4,0.8150000066962093
123,6,4,0.8254999993368983
124,6,4,0.8030000026337802
125,6,4,0.8487000013701618
126,6,4,0.7941999938338995
127,6,4,0.8323999936692417
128,6,4,0.7963000098243356
129,6,4,0.8291000121971592
130,6,4,0.821699999505654
131,6,4,0.8194000110961497
132,6,4,0.7977000059327111
133,6,4,0.8208000072045252
134,6,4,0.7996000058483332
135,6,4,0.8246999932453036
136,6,4,0.7986999989952892
137,6,4,0.8392000017920509
138,6,4,0.7950999861350283
139,6,4,0.830000004498288
140,6,4,0.7920999923953786
141,6,4,0.8517999958712608
142,6,4,0.8144999883370474
143,6,5,0.8209999941755086
144,6,4,0.7973999890964478
145,6,4,0.821099994936958
146,6,4,0.7915000023785979
147,6,4,0.8277000015368685
148,6,4,0.792799997725524
149,6,4,0.8267999946838245
150,6,4,0.7923999946797267
151,6,4,0.8376000041607767
152,6,4,0.7977999921422452
153,6,4,0.8229999948525801
154,6,4,0.8027000003494322
155,6,4,0.826000003144145
156,6,4,0.7977000059327111
157,6,4,0.8242000039899722
158,6,4,0.7913000008556992
159,6,4,0.8414000039920211
160,6,4,0.9138000023085624
161,6,4,0.8533000072930008
162,6,4,0.7963999960338697
163,6,4,0.8227999933296815
164,6,4,0.8014999912120402
165,6,4,0.8215999987442046
166,6,4,0.7996000058483332
167,6,4,0.8215999987442046
168,6,4,0.7895000017015263
169,6,4,0.8302000060211867
170,6,4,0.8097999962046742
171,6,4,0.8372000011149794
172,6,4,0.7914000016171485
173,6,4,0.8254999993368983
174,6,4,0.7941000076243654
175,6,4,0.8214999979827553
176,6,4,0.7975000044098124
177,6,4,0.8226999925682321
178,6,4,0.7973000028869137
179,6,4,0.825399998575449
180,6,4,1.006899998174049
181,6,4,0.8688000089023262
182,6,4,0.8053000055951998
183,6,4,0.8308999967994168
184,6,4,0.8072000055108219
185,6,4,0.8325000089826062
186,6,4,0.7992000028025359
187,6,4,0.8215999987442046
188,6,4,0.7992000028025359
189,6,4,0.8231999963754788
190,6,4,0.8015999919734895
191,6,4,0.8329999982379377
192,6,4,0.8306999952765182
193,6,4,0.8612999954493716
194,6,4,0.7942000083858147
195,6,4,0.826900009997189
196,6,4,0.7928999984869733
197,6,4,0.8189999934984371
198,6,4,0.8170000073732808
199,6,4,1.0179000091739
200,6,4,0.8177999989129603
201,6,4,0.8453000045847148
202,6,4,0.8034000056795776
203,6,4,0.8224000048357993
204,6,4,0.7926000107545406
205,6,4,0.8304999937536195
206,6,4,0.7941999938338995
207,6,4,0.8271999977296218
208,6,4,0.793100000009872
209,6,4,0.8215999987442046
210,6,4,0.7984999974723905
211,6,4,0.8207000064430758
212,6,4,0.8102000138023868
213,6,4,0.8218000002671033
214,6,4,0.7924000092316419
215,6,4,0.825399998575449
216,6,4,0.7929999992484227
217,6,4,0.8280000038212165
218,6,4,0.8106000022962689
219,6,4,0.822000001790002
220,6,4,0.7984999974723905
221,6,4,0.8272000122815371
222,6,4,0.7978000066941604
223,6,4,0.8201000018743798
224,6,4,0.7963000098243356
225,6,4,0.8228999940911308
226,6,4,0.796199994510971
227,6,4,0.826600007712841
228,6,4,0.7910999993328005
229,6,4,0.8266999939223751
230,6,4,0.793100000009872
231,6,4,0.8199000003514811
232,6,4,0.8110000053420663
233,6,4,0.8209999941755086
234,6,4,0.7978000066941604
235,6,4,0.8225000055972487
236,6,4,0.7917000039014965
237,6,4,0.8557000110158697
238,6,4,0.8608999924035743
239,6,4,0.8486000006087124
240,6,4,0.8059999963734299
241,6,4,0.8232999971369281
242,6,4,0.8020999957807362
243,6,4,0.8222999895224348
244,6,4,0.800499998149462
245,6,4,0.822600006358698
246,6,4,0.7921000069472939
247,6,4,0.8322000066982582
248,6,4,0.7943999953567982
249,6,4,0.8276000007754192
250,6,4,0.8114999945973977
251,6,4,0.8311999990837649
252,6,4,0.7972000021254644
253,6,4,0.82970000221394
254,6,4,0.8025999995879829
255,6,4,0.8375999896088615
256,6,4,0.7976999913807958
257,6,4,0.8439000084763393
258,6,4,0.7960000075399876
259,6,4,0.8279000030597672
260,6,4,0.7936000038171187
261,6,4,0.8284000068670139
262,6,4,0.7946999976411462
263,6,4,0.821699999505654
264,6,4,0.7983999967109412
265,6,4,0.8223999902838841
266,6,4,0.7974999898578972
267,6,4,0.8347999973921105
268,6,4,0.7967000128701329
269,6,4,0.8285000076284632
270,6,4,0.7928999984869733
271,6,4,0.829099997645244
272,6,4,0.7926000107545406
273,6,4,0.826300005428493
274,6,4,0.7999999943422154
275,6,4,0.8206999918911606
276,6,4,0.9244999964721501
277,6,4,0.8526000019628555
278,6,5,0.8107999892672524
279,6,4,0.8277000015368685
280,6,4,0.797400003648363
281,6,4,0.82970000221394
282,6,4,0.7955000037327409
283,6,4,0.8379000064451247
284,6,4,0.7933000015327707
285,6,4,0.8206999918911606
286,6,4,0.8002999966265634
287,6,4,0.8219000010285527
288,6,4,0.7980999944265932
289,6,4,0.8197999995900318
290,6,4,0.7900999917183071
291,6,5,0.8295000006910414
292,6,5,0.7929999992484227
293,6,4,0.8522000134689733
294,6,4,0.79340000229422
295,6,4,0.9360999974887818
296,6,4,0.8749999979045242
297,6,4,0.8529000042472035
298,6,4,0.8076000085566193
299,6,4,0.8340999920619652
300,6,4,0.7997999928193167
301,6,4,0.8273999992525205
302,6,4,0.7942000083858147
303,6,4,0.8368999988306314
304,6,4,0.7944999961182475
305,6,4,0.8346000104211271
306,6,4,0.7997000066097826
307,6,4,0.821099994936958
308,6,4,0.8006999996723607
309,6,4,0.822900008643046
310,6,4,0.80080000043381
311,6,4,0.8328999974764884
312,6,4,0.8019999950192869
313,6,4,0.8261999901151285
314,6,4,0.894600001629442
315,6,4,0.8509999897796661
316,6,4,0.8068000024650246
317,6,4,0.8447000000160187
318,6,4,0.7967000128701329
319,6,4,0.8229999948525801
320,6,4,0.7996999920578673
321,6,4,0.8207999926526099
322,6,4,0.7983999967109412
323,6,4,0.8211000094888732
324,6,4,0.7920999923953786
325,6,4,0.8318000036524609
326,6,4,0.7922000077087432
327,6,4,0.8266999939223751
328,6,4,0.7945999968796968
329,6,4,0.8213000110117719
330,6,4,0.8017000072868541
331,6,4,0.822000001790002
332,6,4,0.8009000011952594
333,6,4,0.8487000013701618
334,6,4,0.8077999955276027
335,6,4,0.8251000108430162
336,6,4,0.7923999946797267
337,6,4,0.829099997645244
338,6,4,0.7945000106701627
339,6,4,0.8259000023826957
340,6,4,0.7961000083014369
341,6,4,0.8218000002671033
342,6,4,0.8028999873204157
343,6,4,0.8237000001827255
344,6,4,0.8028000011108816
345,6,4,0.8214000117732212
346,6,4,0.7906999962870032
347,6,4,0.8281999907922
348,6,4,0.8082999993348494
349,6,4,0.8295000006910414
350,6,4,0.793700004578568
351,6,4,0.8265000069513917
352,6,4,0.8003000111784786
353,6,4,1.3495000021066517
354,6,4,1.6163999971468002
355,6,4,1.6175000055227429
356,6,4,1.5998999879229814
357,6,4,1.6315999964717776
358,6,4,1.607099999091588
359,6,4,1.6075000021373853
360,6,4,1.6051999991759658
361,6,4,1.6217000083997846
362,6,4,1.5970999957062304
363,6,4,1.4455999917117879
364,6,4,0.8597999985795468
365,6,4,0.8424999978160486
366,6,4,0.8088000031420961
367,6,4,0.826600007712841
368,6,4,0.7995000050868839
369,6,4,0.8261000039055943
370,6,4,0.8005999989109114
371,6,4,0.832499994430691
372,6,4,0.7942000083858147
373,6,4,0.829399999929592
374,6,4,0.799599991296418
375,6,4,0.8203999896068126
376,6,4,0.8006999996723607
377,6,4,0.8208000072045252
378,6,4,0.8018999942578375
379,6,4,0.8228999940911308
380,6,4,0.792199993156828
381,6,4,0.8854000043356791
382,6,4,0.826900009997189
383,6,4,0.8347999973921105
384,6,4,0.7983000105014071
385,6,4,0.8329999982379377
386,6,4,0.7968000136315823
387,6,4,0.8205000049201772
388,6,4,0.7999999943422154
389,6,4,0.8223999902838841
390,6,4,0.7977999921422452
391,6,4,0.8239999879151583
392,6,4,0.7920999923953786
393,6,4,0.8277000015368685
394,6,4,0.7959999929880723
395,6,4,0.8280000038212165
396,6,4,0.7944999961182475
397,6,4,0.8211999956984073
398,6,4,0.7989000005181879
399,6,5,0.822000001790002
400,6,4,0.7973000028869137
401,6,4,1.2224999954923987
402,6,4,0.8527000027243048
403,6,4,0.8524000004399568
404,6,4,0.811500009149313
405,6,4,0.8552999934181571
406,6,4,0.8166999905370176
407,6,4,0.8384999964619055
408,6,4,0.7953000022098422
409,6,4,0.8299999899463728
410,6,4,0.7960999937495217
411,6,4,0.8231000101659447
412,6,4,0.800499998149462
413,6,4,0.8307999960379675
414,6,4,0.7991000020410866
415,6,4,0.8213000110117719
416,6,4,0.7926999969640747
417,6,4,0.8314999868161976
418,6,4,0.7943999953567982
419,6,4,0.883299988345243
420,6,4,0.8259999885922298
421,6,4,0.8481999975629151
422,6,4,0.8028000011108816
423,6,4,0.8221000025514513
424,6,4,0.800199995865114
425,6,4,0.8323000074597076
426,6,4,0.7926999969640747
427,6,4,0.8263999916380271
428,6,4,0.7920999923953786
429,6,4,0.8279000030597672
430,6,4,0.7910999993328005
431,6,4,0.818300002720207
432,6,4,0.8120000129565597
433,6,4,0.8455999923171476
434,6,4,0.7992000028025359
435,6,4,0.8201000018743798
436,6,4,0.7977000059327111
437,6,4,0.8230000094044954
438,6,4,0.7977000059327111
439,6,4,0.8507000020472333
440,6,4,0.8076000085566193
441,6,4,0.826600007712841
442,6,4,0.8096999954432249
443,6,4,0.8325999951921403
444,6,4,0.8046000002650544
445,6,4,0.8256000000983477
446,6,4,0.8069000032264739
447,6,4,0.8319000044139102
448,6,4,0.7953000022098422
449,6,4,0.8299000037368387
450,6,4,0.7957999914651737
451,6,4,0.8366999973077327
452,6,4,0.7989000005181879
453,6,4,0.8259000023826957
454,6,4,0.8104000007733703
455,6,4,0.8258000016212463
456,6,4,0.822600006358698
457,6,4,0.8306000090669841
458,6,4,1.3002000050619245
459,6,4,0.8677000005263835
460,6,4,0.8157999982358888
461,6,4,0.8347999973921105
462,6,4,0.7949999999254942
463,6,4,0.829399999929592
464,6,4,0.7962999952724203
465,6,4,0.833400001283735
466,6,4,0.7947000121930614
467,6,4,0.8228999940911308
468,6,4,0.7994999905349687
469,6,4,0.8221000025514513
470,6,4,0.7993000035639852
471,6,4,0.8214999979827553
472,6,4,0.7917000039014965
473,6,4,0.8285000076284632
474,6,4,0.7920999923953786
475,6,4,0.828499993076548
476,6,4,0.8009000011952594
477,6,4,0.8368999988306314
478,6,4,0.80080000043381
479,6,4,0.8202000026358292
480,6,4,0.7981999951880425
481,6,4,0.8209999941755086
482,6,4,0.7966999983182177
483,6,4,0.8228000078815967
484,6,4,0.7914000016171485
485,6,4,0.8341000066138804
486,6,4,0.8019999950192869
487,6,4,0.8261999901151285
488,6,4,0.8105000015348196
489,6,4,0.8207000064430758
490,6,4,0.8135999960359186
491,6,4,0.821699999505654
492,6,4,0.8001000096555799
493,6,4,0.8208999934140593
494,6,4,0.7999999943422154
495,6,4,0.8305999945150688
496,6,4,0.8764000085648149
497,6,4,0.8426999993389472
498,6,4,0.7985999982338399
499,6,4,0.8296000014524907
500,6,4,0.8033999911276624
501,6,4,0.830300006782636
502,6,4,0.810900004580617
503,6,4,0.8252999978139997
504,6,4,0.8007999858818948
505,6,4,0.8234999986598268
506,6,4,0.8051000040723011
507,6,4,0.8241000032285228
508,6,4,0.7933999877423048
509,6,4,0.8262000046670437
510,6,4,0.7915000023785979
511,6,4,0.8245000062743202
512,6,4,0.7958000060170889
513,6,4,0.8208000072045252
514,6,4,0.7972000021254644
515,6,4,0.9606000094208866
516,6,4,0.9992999985115603
517,6,4,1.3072000001557171
518,6,4,0.8163000020431355
519,6,4,0.8344999951077625
520,6,4,0.8073000062722713
521,6,4,0.8242000039899722
522,6,4,0.7996000058483332
523,6,4,0.82230000407435
524,6,4,0.7970000006025657
525,6,4,0.8221999887609854
526,6,4,0.7986999989952892
527,6,4,0.8322000066982582
528,6,4,0.7964000105857849
529,6,4,0.8342999935848638
530,6,4,0.7906999962870032
531,6,4,0.8196999988285825
532,6,4,0.7984999974723905
533,6,4,0.8190999942598864
534,6,5,0.9904000035021454
535,6,4,0.8557999972254038
536,6,4,0.802999988081865
537,6,4,0.8278000022983178
538,6,4,0.8085000008577481
539,6,4,0.8348999981535599
540,6,4,0.7966999983182177
541,6,4,0.8318000036524609
542,6,4,0.7941000076243654
543,6,4,0.8194999973056838
544,6,4,0.8110000053420663
545,6,4,0.8209999941755086
546,6,4,0.843299989355728
547,6,5,0.8301999914692715
548,6,5,0.8025999995879829
549,6,4,0.822000001790002
550,6,4,0.7891999994171783
551,6,4,0.830000004498288
552,6,4,0.7902000070316717
553,6,4,0.9146000084001571
554,6,4,0.8148999913828447
555,6,4,0.8363999950233847
556,6,4,0.7990000012796372
557,6,4,0.8238999871537089
558,6,4,0.7979999936651438
559,6,4,0.8192999957827851
560,6,4,0.7953000022098422
561,6,4,0.821099994936958
562,6,4,0.790000005508773
563,6,4,0.8252000116044655
564,6,4,0.789400000940077
565,6,4,0.8387999987462536
566,6,4,0.8121999999275431
567,6,4,0.8311999990837649
568,6,4,0.8168999920599163
569,6,4,0.8239000017056242
570,6,4,0.8118999976431951
571,6,4,0.8188999927369878
572,6,4,0.8306999952765182
573,6,4,0.8380000072065741
574,6,4,0.796799999079667
575,6,4,0.8283000061055645
576,6,4,0.7918000046629459
577,6,4,0.8190999942598864
578,6,4,0.8142000006046146
579,6,4,0.8234999986598268
580,6,4,0.7972000021254644
581,6,4,0.8194999973056838
582,6,4,0.7875000010244548
583,6,4,0.8258999878307804
584,6,4,0.7903999940026551
585,6,4,0.8245999924838543
586,6,4,0.7904999947641045
587,6,4,0.8767000108491629
588,6,4,0.7955000037327409
589,6,4,0.8195999980671331
590,6,4,0.796199994510971
591,6,4,0.8709999965503812
592,6,4,0.8497999951941893
593,6,4,0.973699992755428
594,6,4,1.0202000121353194
595,6,4,0.840199994854629
596,6,4,0.7982000097399577
597,6,4,0.8324000082211569
598,6,4,0.7982999959494919
599,6,4,0.8316999883390963
600,6,4,0.7952000014483929
601,6,4,0.832799996715039
602,6,4,0.7951000006869435
603,6,4,0.8210000087274238
604,6,4,0.7989000005181879
605,6,4,0.8228999940911308
606,6,4,0.7980999944265932
607,6,4,0.8357999904546887
608,6,4,0.7943999953567982
609,6,4,0.8264000061899424
610,6,4,0.8664999913889915
611,6,4,0.8705000072950497
612,6,4,0.8040999964578077
613,6,4,0.8296000014524907
614,6,4,0.7993000035639852
615,6,4,0.8205000049201772
616,6,4,0.7998000073712319
617,6,4,0.8208000072045252
618,6,4,0.7910999993328005
619,6,4,0.8262000046670437
620,6,4,0.790600010077469
621,6,4,0.8269999962067232
622,6,4,0.8006999996723607
623,6,4,0.8201000018743798
624,6,4,0.8010999881662428
625,6,4,0.8187999919755384
626,6,4,0.7966999983182177
627,6,4,0.8243000047514215
628,6,4,0.789400000940077
629,6,4,0.8309999975608662
630,6,4,1.3624999992316589
631,6,4,1.335499997367151
632,6,4,0.832499994430691
633,6,4,0.830000004498288
634,6,4,0.7963000098243356
635,6,4,0.8308000105898827
636,6,4,0.7913000008556992
637,6,4,0.8270999969681725
638,6,4,0.7932000007713214
639,6,4,0.8254999993368983
640,6,4,0.7945000106701627
641,6,4,0.8209000079659745
642,6,4,0.7963999960338697
643,6,4,0.8199000003514811
644,6,4,0.7968999998411164
645,6,4,0.8218000002671033
646,6,4,0.7904999947641045
647,6,4,0.8445999992545694
648,6,4,1.4041999966138974
649,6,4,1.177600002847612
650,6,4,0.8473000052617863
651,6,4,0.8342999935848638
652,6,4,0.8311000128742307
653,6,4,0.8416999917244539
654,6,4,0.824199989438057
655,6,5,0.826000003144145
656,6,4,0.8325999951921403
657,6,4,0.8465999999316409
658,6,4,0.8145999890984967
659,6,4,0.8277000015368685
660,6,4,0.792499995441176
661,6,4,0.8271999977296218
662,6,4,0.7922000077087432
663,6,4,0.8191999950213358
664,6,4,0.7965999975567684
665,6,4,0.8623999892733991
666,6,4,0.8662999898660928
667,6,4,0.8378999918932095
668,6,4,0.8043000125326216
669,6,4,0.8412000024691224
670,6,4,0.7985999982338399
671,6,4,0.8303999929921702
672,6,4,0.79340000229422
673,6,4,0.8452000038232654
674,6,4,0.8166000043274835
675,6,4,0.8385000110138208
676,6,4,0.8015999919734895
677,6,4,0.8331999997608364
678,6,4,0.7965999975567684
679,6,4,0.8378999918932095
680,6,4,0.8056999940890819
681,6,4,0.8452999900327995
682,6,4,0.795899992226623
683,6,4,0.8425999985774979
684,6,4,0.8535999950254336
685,6,4,0.9243000095011666
686,6,4,0.8137999975588173
687,6,4,0.8467000006930903
688,6,4,0.8084000000962988
689,6,4,0.8398000063607469
690,6,4,0.8019999950192869
691,6,4,0.8380999934161082
692,6,4,0.792499995441176
693,6,4,0.8464999991701916
694,6,4,0.795899992226623
695,6,4,0.8452999900327995
696,6,4,0.7986999989952892
697,6,4,0.855200007208623
698,6,4,0.8027000003494322
699,6,4,0.8415999909630045
700,6,4,0.8003999973880127
701,6,4,0.8376999903703108
702,6,4,0.799899993580766
703,6,4,0.8578000124543905
704,6,4,1.0916000028373674
705,6,4,0.8699000027263537
706,6,4,0.8023999980650842
707,6,4,0.8474000060232356
708,6,4,0.7957000052556396
709,6,4,0.8366999973077327
710,6,4,0.7989000005181879
711,6,4,0.8378000056836754
712,6,4,0.7985999982338399
713,6,4,0.8379999926546589
714,6,4,0.7931999862194061
715,6,4,0.8424999978160486
716,6,4,0.7932000007713214
717,6,4,0.8431000023847446
718,6,4,0.7941999938338995
719,6,4,0.8357999904546887
720,6,4,0.7991000020410866
721,6,4,0.8369999995920807
722,6,4,0.7993999897735193
723,6,4,0.8896999934222549
724,6,4,0.8033000049181283
725,6,4,0.8461000106763095
726,6,4,0.7963999960338697
727,6,4,0.8459999953629449
728,6,4,0.7959000067785382
729,6,4,0.8407999994233251
730,6,4,0.7956000044941902
731,6,4,0.8343999943463132
732,6,4,0.7978999929036945
733,6,4,0.8449999877484515
734,6,4,0.8034000056795776
735,6,4,0.8415000047534704
736,6,4,0.8030000026337802
737,6,4,0.847800009069033
738,6,4,0.7972000021254644
739,6,4,0.8414000039920211
740,6,4,0.8071000047493726
741,6,4,0.8486000006087124
742,6,4,1.186299996334128
743,6,4,0.9054999973159283
744,6,4,0.8199000003514811
745,6,4,0.8651999960420653
746,6,4,0.8495000074617565
747,6,4,0.8421000093221664
748,6,4,0.8058999956119806
749,6,4,0.8520999981556088
750,6,4,0.8053000055951998
751,6,4,0.8520000119460747
752,6,4,0.7951000006869435
753,6,4,0.8447000000160187
754,6,4,0.7936999900266528
755,6,4,0.8413000032305717
756,6,4,0.796499996795319
757,6,4,0.8413999894401059
758,6,4,0.8023999980650842
759,6,4,0.8381000079680234
760,6,4,0.9356000082334504
761,6,4,0.8913000056054443
762,6,4,0.8085000008577481
763,6,4,0.8444999984931201
764,6,4,0.7978000066941604
765,6,4,0.8501999982399866
766,6,4,0.7955000037327409
767,6,4,0.8424999978160486
768,6,4,0.7955000037327409
769,6,4,0.8365000103367493
770,6,4,0.7992000028025359
771,6,4,0.8366999973077327
772,6,4,0.8108999900287017
773,6,4,0.8372000011149794
774,6,4,0.7899000047473237
775,6,4,0.8406999986618757
776,6,4,0.7929999992484227
777,6,4,0.8411000017076731
778,6,4,0.7945999968796968
779,6,4,0.8863000111887231
780,6,4,0.8499999967170879
781,6,4,0.8393000025535002
782,6,4,0.7989000005181879
783,6,4,0.8357000042451546
784,6,4,0.7991000020410866
785,6,4,0.8409000001847744
786,6,4,0.8171999943442643
787,6,4,0.8461000106763095
788,6,4,0.7952000014483929
789,6,4,0.8414000039920211
790,6,5,0.7957999914651737
791,6,4,0.83710000035353
792,6,4,0.7983999967109412
793,6,4,0.8363999950233847
794,6,4,0.7980000082170591
795,6,4,0.8348000119440258
796,6,4,0.7921000069472939
797,6,4,0.8488000021316111
798,6,4,0.7944000099087134
799,6,4,1.547100007883273
800,6,4,0.8142000006046146
