rule_id,composite_fitness,total_displacement,std_dev,velocities,annihilated
rule_001,1.17941545,1.801119,0.52712889,1.3536;0.2121;0.2111;0.0243,0
rule_002,1.03046682,1.541053,0.4954904,1.2404;0.1671;0.0558;0.0777,0
rule_003,0.53139083,0.627639,0.18112593,0.4694;0.0759;0.0514;0.0310,0
rule_004,0.36722882,0.418266,0.13897899,0.3451;0.0302;0.0263;0.0166,0
rule_005,1.04748251,1.555853,0.48532571,1.2246;0.1519;0.0243;0.1550,0
rule_006,0.34733787,0.408826,0.17702685,0.4088;0.0000;0.0000;0.0000,0
rule_007,1.13903522,1.686034,0.48022973,1.2503;0.0793;0.1725;0.1840,0
rule_008,0.58364225,0.781027,0.33819456,0.7810;0.0000;0.0000;0.0000,0
rule_009,0.88465513,1.394136,0.57590907,1.3459;0.0040;0.0137;0.0305,0
rule_010,0.75767677,1.062957,0.40291593,0.9636;0.0324;0.0272;0.0398,0
rule_011,0.48605264,0.582036,0.19747516,0.4864;0.0075;0.0361;0.0520,0
rule_012,0.63264003,0.871334,0.37729886,0.8713;0.0000;0.0000;0.0000,0
rule_013,0.68107585,0.965948,0.41826771,0.9659;0.0000;0.0000;0.0000,0
rule_014,0.88957652,1.369202,0.53916105,1.2758;0.0375;0.0063;0.0496,0
rule_015,0.25606345,0.275719,0.07675941,0.2016;0.0264;0.0313;0.0164,0
rule_016,0.4397921,0.534105,0.21444868,0.5048;0.0146;0.0146;0.0000,0
rule_017,0.65424893,0.828429,0.26622831,0.6670;0.0258;0.0555;0.0801,0
rule_018,0.42401493,0.519374,0.22489554,0.5194;0.0000;0.0000;0.0000,0
rule_019,0.58308433,0.736717,0.26348315,0.6399;0.0391;0.0107;0.0470,0
rule_020,0.38529895,0.462455,0.2002487,0.4625;0.0000;0.0000;0.0000,0
rule_021,0.52506637,0.643198,0.22498434,0.5498;0.0092;0.0378;0.0464,0
rule_022,0.67000416,0.850975,0.27010428,0.6787;0.0859;0.0673;0.0191,0
rule_023,0.4932972,0.557395,0.12993815,0.3618;0.0478;0.0503;0.0976,0
rule_024,0.38323113,0.459479,0.19896018,0.4595;0.0000;0.0000;0.0000,0
rule_025,1.32004084,3.081288,1.3342368,3.0813;0.0000;0.0000;0.0000,0
rule_026,0.6892202,0.906685,0.3155234,0.7729;0.0609;0.0426;0.0304,0
rule_027,0.36344263,0.41355,0.13786821,0.3421;0.0259;0.0273;0.0183,0
rule_028,0.63418969,0.874277,0.37857293,0.8743;0.0000;0.0000;0.0000,0
rule_029,0.4475766,0.534693,0.19463972,0.4707;0.0292;0.0164;0.0184,0
rule_030,0.09652759,0.100738,0.04362093,0.1007;0.0000;0.0000;0.0000,0
rule_031,0.62702167,0.771687,0.23071875,0.5912;0.0521;0.0385;0.0899,0
rule_032,0.56818887,0.743431,0.3084228,0.7200;0.0098;0.0043;0.0093,0
rule_033,0.8236743,1.127657,0.36905728,0.9206;0.0499;0.0907;0.0664,0
rule_034,0.86327368,1.238625,0.43479984,1.0625;0.0714;0.0631;0.0416,0
rule_035,0.49173616,0.605249,0.23084117,0.5507;0.0065;0.0127;0.0353,0
rule_036,0.75568527,1.12323,0.4863729,1.1232;0.0000;0.0000;0.0000,0
rule_037,0.13422517,0.142508,0.06170773,0.1425;0.0000;0.0000;0.0000,0
rule_038,0.68973359,0.983456,0.42584888,0.9835;0.0000;0.0000;0.0000,0
rule_039,1.14575413,1.753023,0.53001669,1.3545;0.1404;0.1749;0.0832,0
rule_040,0.3862874,0.447278,0.15789032,0.3845;0.0390;0.0051;0.0187,0
rule_041,1.06118009,1.543134,0.45416803,1.1677;0.2023;0.1074;0.0656,0
rule_042,0.31894159,0.370047,0.16023516,0.3700;0.0000;0.0000;0.0000,0
rule_043,0.43678262,0.496313,0.13629341,0.3600;0.0418;0.0420;0.0526,0
rule_044,0.46139691,0.576595,0.24967309,0.5766;0.0000;0.0000;0.0000,0
rule_045,1.09589129,1.710542,0.56086859,1.3959;0.1308;0.0323;0.1515,0
rule_046,0.69623171,0.935911,0.34425272,0.8300;0.0480;0.0369;0.0210,0
rule_047,0.91340515,1.328685,0.45465012,1.1194;0.0826;0.0531;0.0735,0
rule_048,0.51247089,0.608105,0.18661328,0.4726;0.0713;0.0072;0.0570,0
rule_049,0.38090678,0.456142,0.19751512,0.4561;0.0000;0.0000;0.0000,0
rule_050,0.71344907,1.009665,0.41518853,0.9714;0.0191;0.0006;0.0186,0
rule_051,0.76707484,1.094508,0.4268596,1.0128;0.0254;0.0165;0.0398,0
rule_052,0.46015195,0.574652,0.24883178,0.5747;0.0000;0.0000;0.0000,0
rule_053,0.22923685,0.254499,0.11020132,0.2545;0.0000;0.0000;0.0000,0
rule_054,0.41789552,0.485135,0.16090114,0.3999;0.0281;0.0319;0.0251,0
rule_055,0.37348289,0.445536,0.19292287,0.4455;0.0000;0.0000;0.0000,0
rule_056,0.31155109,0.360135,0.15594318,0.3601;0.0000;0.0000;0.0000,0
rule_057,0.72176215,1.025759,0.42118675,0.9859;0.0109;0.0174;0.0115,0
rule_058,0.50274111,0.609148,0.21165438,0.5185;0.0204;0.0449;0.0254,0
rule_059,0.21340761,0.218596,0.02431001,0.0929;0.0521;0.0483;0.0254,0
rule_060,0.71238738,1.001114,0.40529434,0.9523;0.0165;0.0164;0.0160,0
rule_061,0.55827234,0.736254,0.31880714,0.7363;0.0000;0.0000;0.0000,0
rule_062,0.42217166,0.516611,0.22369917,0.5166;0.0000;0.0000;0.0000,0
rule_063,0.36610885,0.435082,0.18839619,0.4351;0.0000;0.0000;0.0000,0
rule_064,0.56872572,0.754544,0.32672705,0.7545;0.0000;0.0000;0.0000,0
rule_065,0.48915777,0.585865,0.19770179,0.4887;0.0417;0.0319;0.0235,0
