rule_id,fitness,displacement,final_bits,final_objects
rule_001.json,0.01163243,1.62854,186,72
rule_002.json,0.0,0.0,325,72
rule_003.json,0.0,0.0,325,72
rule_004.json,0.0,0.0,325,72
rule_005.json,0.04913893,0.343973,319,72
rule_006.json,0.00047427,2.995991,6620,51
rule_007.json,0.00047427,2.995991,6620,51
rule_008.json,0.00056411,3.710732,6885,55
rule_009.json,0.0,0.0,325,72
rule_010.json,0.00185694,0.319394,495,71
rule_011.json,0.00536097,0.820228,476,73
rule_012.json,0.03814583,0.762917,312,78
rule_013.json,0.00646652,0.025866,323,73
rule_014.json,0.00047,2.976022,6631,47
rule_015.json,0.0,0.0,325,72
rule_016.json,0.03707757,0.111233,327,72
rule_017.json,0.0,0.0,325,72
rule_018.json,0.0,0.0,325,72
rule_019.json,0.00048868,3.222337,6881,35
rule_020.json,0.0,0.0,325,72
rule_021.json,0.07996136,0.319845,327,71
rule_022.json,0.00509162,0.010183,324,72
rule_023.json,0.06114283,0.183428,323,72
rule_024.json,0.0,0.0,325,72
rule_025.json,0.00124614,7.496762,6325,57
rule_026.json,0.00124282,7.489223,6331,53
rule_027.json,0.00806807,0.04034,322,73
rule_028.json,0.00124323,7.468095,6318,59
rule_029.json,0.00611893,9.233466,1774,131
rule_030.json,0.09386233,0.187725,326,72
rule_031.json,0.00260601,0.416962,484,72
rule_032.json,0.0,0.0,325,72
rule_033.json,0.07996136,0.319845,327,71
rule_034.json,0.00028274,1.529616,5586,220
rule_035.json,0.00035024,3.585768,10165,469
rule_036.json,0.04891825,0.342428,319,72
rule_037.json,0.01185738,1.683748,184,72
rule_038.json,0.0,0.0,325,72
rule_039.json,0.00463595,0.713937,478,72
rule_040.json,0.0,0.0,325,72
rule_041.json,0.04103293,0.328263,332,72
rule_042.json,0.00220776,0.337788,476,71
rule_043.json,0.00273427,0.486699,160,84
rule_044.json,0.0,0.0,325,72
rule_045.json,0.0,0.0,325,72
rule_046.json,0.0,0.0,325,72
rule_047.json,0.00036134,1.935686,5644,35
rule_048.json,0.06939847,0.138797,324,72
rule_049.json,0.0,0.0,325,72
rule_050.json,0.03707757,0.111233,327,72
rule_051.json,0.0,0.0,325,72
rule_052.json,0.00125938,7.531114,6156,220
rule_053.json,0.0,0.0,325,72
rule_054.json,0.01501122,0.330247,309,77
rule_055.json,0.0,0.0,325,72
rule_056.json,0.0,0.0,325,72
rule_057.json,0.0,0.0,325,72
rule_058.json,0.00036886,2.68862,7592,51
rule_059.json,0.00042806,2.317101,5701,36
rule_060.json,0.0,0.0,325,72
rule_061.json,0.0,0.0,325,72
rule_062.json,0.0,0.0,325,72
rule_063.json,0.00509162,0.010183,324,72
rule_064.json,0.05593629,0.615299,316,73
rule_065.json,0.00046876,2.98743,6660,35
rule_066.json,0.06114283,0.183428,323,72
rule_067.json,0.0,0.0,325,72
rule_068.json,0.0,0.0,325,72
rule_069.json,0.0,0.0,325,72
rule_070.json,0.0,0.0,325,72
rule_071.json,0.0,0.0,325,72
rule_072.json,0.07114707,0.782618,317,74
rule_073.json,0.0,0.0,325,72
rule_074.json,0.00038522,2.041652,5607,55
rule_075.json,0.00509162,0.010183,324,72
rule_076.json,0.0,0.0,325,72
rule_077.json,0.0,0.0,325,72
rule_078.json,0.03707757,0.111233,327,72
rule_079.json,0.0,0.0,325,72
rule_080.json,0.04053966,1.743205,366,71
rule_081.json,0.0068982,0.013796,324,72
rule_082.json,0.0,0.0,325,72
rule_083.json,0.0,0.0,325,72
rule_084.json,0.07009907,0.630892,317,72
rule_085.json,0.03814583,0.762917,312,78
rule_086.json,0.0,0.0,325,72
rule_087.json,0.0,0.0,325,72
rule_088.json,0.05586108,0.50275,333,72
rule_089.json,0.0,0.0,325,72
rule_090.json,0.07996136,0.319845,327,71
rule_091.json,0.0,0.0,325,72
rule_092.json,0.0,0.0,325,72
rule_093.json,0.0,0.0,325,72
rule_094.json,0.01196928,1.711607,183,72
rule_095.json,0.0,0.0,325,72
rule_096.json,0.00543481,0.01087,324,72
rule_097.json,0.0,0.0,325,72
rule_098.json,0.0,0.0,325,72
rule_099.json,0.0,0.0,325,72
rule_100.json,0.0,0.0,325,72
